storage,mode,dimension,cardinality,phase,heap_bytes,heap_objects,largest_array_bytes,query_native_bytes
native,owner,rows,1024,live1,337616,6666,16400,18336
native,owner,rows,1024,output1,337616,6666,16400,18336
native,owner,rows,1024,closed1,336808,6645,16400,0
native,owner,rows,1024,live2,337944,6666,16400,18336
native,owner,rows,1024,output2,337944,6666,16400,18336
native,owner,rows,1024,closed2,337136,6645,16400,0
native,owner,rows,8192,live1,338696,6666,16400,51616
native,owner,rows,8192,output1,338696,6666,16400,51616
native,owner,rows,8192,closed1,337888,6645,16400,0
native,owner,rows,8192,live2,338696,6666,16400,51616
native,owner,rows,8192,output2,338696,6666,16400,51616
native,owner,rows,8192,closed2,337888,6645,16400,0
native,owner,rows,65536,live1,338840,6666,16400,345504
native,owner,rows,65536,output1,338840,6666,16400,345504
native,owner,rows,65536,closed1,338032,6645,16400,0
native,owner,rows,65536,live2,338840,6666,16400,345504
native,owner,rows,65536,output2,338840,6666,16400,345504
native,owner,rows,65536,closed2,338032,6645,16400,0
native,owner,rows,262144,live1,338872,6666,16400,1353120
native,owner,rows,262144,output1,338872,6666,16400,1353120
native,owner,rows,262144,closed1,338064,6645,16400,0
native,owner,rows,262144,live2,338872,6666,16400,1353120
native,owner,rows,262144,output2,338872,6666,16400,1353120
native,owner,rows,262144,closed2,338064,6645,16400,0
native,owner,keys,1024,live1,338904,6666,16400,79776
native,owner,keys,1024,output1,338904,6666,16400,79776
native,owner,keys,1024,closed1,338096,6645,16400,0
native,owner,keys,1024,live2,338904,6666,16400,79776
native,owner,keys,1024,output2,338904,6666,16400,79776
native,owner,keys,1024,closed2,338096,6645,16400,0
native,owner,keys,8192,live1,338928,6666,16400,571808
native,owner,keys,8192,output1,338928,6666,16400,571808
native,owner,keys,8192,closed1,338120,6645,16400,0
native,owner,keys,8192,live2,338928,6666,16400,571808
native,owner,keys,8192,output2,338928,6666,16400,571808
native,owner,keys,8192,closed2,338120,6645,16400,0
native,owner,keys,65536,live1,338928,6666,16400,4535712
native,owner,keys,65536,output1,338928,6666,16400,4535712
native,owner,keys,65536,closed1,338120,6645,16400,0
native,owner,keys,65536,live2,338928,6666,16400,4535712
native,owner,keys,65536,output2,338928,6666,16400,4535712
native,owner,keys,65536,closed2,338120,6645,16400,0
native,owner,keys,262144,live1,338928,6666,16400,18126240
native,owner,keys,262144,output1,338928,6666,16400,18126240
native,owner,keys,262144,closed1,338120,6645,16400,0
native,owner,keys,262144,live2,338928,6666,16400,18126240
native,owner,keys,262144,output2,338928,6666,16400,18126240
native,owner,keys,262144,closed2,338120,6645,16400,0
native,owner,symbols_groups,1024,live1,338928,6666,16400,180768
native,owner,symbols_groups,1024,output1,338928,6666,16400,180768
native,owner,symbols_groups,1024,closed1,338120,6645,16400,0
native,owner,symbols_groups,1024,live2,338928,6666,16400,180768
native,owner,symbols_groups,1024,output2,338928,6666,16400,180768
native,owner,symbols_groups,1024,closed2,338120,6645,16400,0
native,owner,symbols_groups,8192,live1,338928,6666,16400,1483808
native,owner,symbols_groups,8192,output1,338928,6666,16400,1483808
native,owner,symbols_groups,8192,closed1,338120,6645,16400,0
native,owner,symbols_groups,8192,live2,338928,6666,16400,1483808
native,owner,symbols_groups,8192,output2,338928,6666,16400,1483808
native,owner,symbols_groups,8192,closed2,338120,6645,16400,0
native,owner,symbols_groups,65536,live1,338928,6666,16400,11870240
native,owner,symbols_groups,65536,output1,338928,6666,16400,11870240
native,owner,symbols_groups,65536,closed1,338120,6645,16400,0
native,owner,symbols_groups,65536,live2,338928,6666,16400,11870240
native,owner,symbols_groups,65536,output2,338928,6666,16400,11870240
native,owner,symbols_groups,65536,closed2,338120,6645,16400,0
