suite,tests,failures,errors,skipped,seconds
io.questdb.test.cairo.PageFrameAddressCacheTest,3,0,0,0,0.381
io.questdb.test.cairo.SymbolMapTest,31,0,0,0,36.855
io.questdb.test.cairo.covering.CoveringIndexParallelDecodeTest,30,0,0,0,5.495
io.questdb.test.cairo.lv.LiveViewPageFrameCursorTest,22,0,0,0,0.026
io.questdb.test.cairo.lv.LiveViewSymbolCacheConcurrencyTest,12,0,0,0,1.552
io.questdb.test.cairo.lv.LiveViewSymbolTableSourceTest,7,0,0,0,0.535
io.questdb.test.cairo.map.OrderedMapTest,53,0,0,0,2.727
io.questdb.test.cairo.map.Unordered4MapTest,20,0,0,0,0.039
io.questdb.test.cairo.map.Unordered8MapTest,17,0,0,0,0.043
io.questdb.test.cairo.parquet.ParquetColumnTypeConversionTest,105,0,0,0,137.238
io.questdb.test.cairo.sql.PageFrameMemoryRecordTest,1,0,0,0,0.0
io.questdb.test.cairo.sql.async.PageFrameReduceTaskTest,18,0,0,0,0.004
io.questdb.test.cairo.sql.async.QueryParallelFiberDispatcherTest,40,0,0,0,1.83
io.questdb.test.griffin.AsyncHashJoinGroupByTest,37,0,0,0,4.096
io.questdb.test.griffin.GroupByRewriteTest,33,0,0,0,1.384
io.questdb.test.griffin.GroupByTest,119,0,0,0,6.116
io.questdb.test.griffin.HashJoinGroupByCandidateTest,12,0,0,0,1.014
io.questdb.test.griffin.HashJoinGroupByConcurrentTest,3,0,0,0,0.716
io.questdb.test.griffin.HashJoinGroupByFunctionsTest,14,0,0,0,1.216
io.questdb.test.griffin.HashJoinGroupByPlannerTest,12,0,0,0,1.607
io.questdb.test.griffin.HashJoinGroupByQualificationTest,10,0,0,0,4.17
io.questdb.test.griffin.HorizonJoinTest,172,0,0,0,21.454
io.questdb.test.griffin.PageFrameCursorTest,6,0,0,0,0.259
io.questdb.test.griffin.ParallelFilterTest,49,0,0,1,10.398
io.questdb.test.griffin.ParallelGroupByMemoryTrackerTest,9,0,0,0,2.082
io.questdb.test.griffin.ParallelHorizonJoinMemoryTrackerTest,14,0,0,0,5.057
io.questdb.test.griffin.ParallelParquetMemoryTrackerTest,5,0,0,0,1.81
io.questdb.test.griffin.ParquetMemoryTrackerTest,6,0,0,0,0.65
io.questdb.test.griffin.ParquetRowGroupPruningTest,186,0,0,0,11.435
io.questdb.test.griffin.QueryRegistryMemoryTrackerTest,9,0,0,0,0.16
io.questdb.test.griffin.SqlCodeGeneratorWorkerFunctionExtractionTest,11,0,0,0,0.11
io.questdb.test.griffin.SqlOptimiserTest,175,0,0,0,9.439
io.questdb.test.griffin.SymbolPatternIndexTest,117,0,0,0,8.629
io.questdb.test.griffin.TimeFrameCursorTest,42,0,0,0,3.33
io.questdb.test.griffin.engine.QueryProgressValidationTest,4,0,0,0,0.041
io.questdb.test.griffin.engine.SqlCodeGeneratorTest,332,0,0,1,22.773
io.questdb.test.griffin.engine.functions.groupby.AvgDoubleGroupByFunctionFactoryTest,9,0,0,0,0.188
io.questdb.test.griffin.engine.functions.groupby.CountSymbolGroupByFunctionFactoryTest,9,0,0,0,0.403
io.questdb.test.griffin.engine.groupby.CountColumnTest,14,0,0,0,2.532
io.questdb.test.griffin.engine.groupby.CountTest,11,0,0,0,0.579
io.questdb.test.griffin.engine.groupby.GroupByFunctionsUpdaterFactoryTest,2,0,0,0,0.001
io.questdb.test.griffin.engine.groupby.GroupByUtilsTest,17,0,0,0,0.005
io.questdb.test.griffin.engine.groupby.PostAggregationCircuitBreakerTest,11,0,0,0,0.013
io.questdb.test.griffin.engine.groupby.SortedRunsMergeTest,16,0,0,0,0.018
io.questdb.test.griffin.engine.join.HashJoinTest,11,0,0,0,2.024
io.questdb.test.griffin.engine.join.IntHashJoinBuildTest,19,0,0,0,0.312
io.questdb.test.griffin.engine.join.JoinRecordMetadataTest,10,0,0,0,0.088
io.questdb.test.griffin.engine.table.AsyncFilterContextTest,8,0,0,0,0.281
io.questdb.test.griffin.engine.table.AsyncFilteredRecordCursorFactoryTest,37,0,0,0,10.891
io.questdb.test.griffin.engine.table.GroupByMapFragmentTest,4,0,0,0,0.011
io.questdb.test.griffin.engine.table.PageFrameCursorReleasePartitionTest,11,0,0,0,0.762
io.questdb.test.griffin.engine.table.PageFrameRecordCursorImplFactoryTest,48,0,0,0,7.159
io.questdb.test.griffin.engine.table.PageFrameScanCancellationTest,1,0,0,0,0.042
io.questdb.test.griffin.engine.table.parquet.ReadParquetCancellationTest,2,0,0,0,0.083
io.questdb.test.std.DirectIntListTest,11,0,0,0,0.004
