suite,tests,failures,errors,skipped,seconds
io.questdb.test.QueryAssertionCircuitBreakerTest,5,0,0,0,0.082
io.questdb.test.cairo.FullBwdPartitionFrameCursorTest,1,0,0,0,0.053
io.questdb.test.cairo.FullFwdPartitionFrameCursorTest,165,0,0,0,33.078
io.questdb.test.cairo.IntervalBwdPartitionFrameCursorTest,56,0,0,9,2.878
io.questdb.test.cairo.IntervalFwdPartitionFrameCursorTest,68,0,0,15,3.334
io.questdb.test.cairo.PageFrameAddressCacheTest,3,0,0,0,0.381
io.questdb.test.cairo.SymbolMapTest,31,0,0,0,36.8
io.questdb.test.cairo.covering.CoveringIndexParallelDecodeTest,30,0,0,0,6.931
io.questdb.test.cairo.lv.LiveViewPageFrameCursorTest,22,0,0,0,0.027
io.questdb.test.cairo.lv.LiveViewSymbolCacheConcurrencyTest,12,0,0,0,1.586
io.questdb.test.cairo.lv.LiveViewSymbolTableSourceTest,7,0,0,0,0.013
io.questdb.test.cairo.map.MapCursorCancellationTest,1,0,0,0,0.016
io.questdb.test.cairo.map.OrderedMapTest,52,0,0,0,2.715
io.questdb.test.cairo.map.ShardedMapCursorTest,3,0,0,0,0.011
io.questdb.test.cairo.map.Unordered4MapTest,20,0,0,0,0.039
io.questdb.test.cairo.map.Unordered8MapTest,17,0,0,0,0.043
io.questdb.test.cairo.parquet.ParquetColumnTypeConversionTest,105,0,0,0,138.132
io.questdb.test.cairo.sql.NetworkSqlExecutionCircuitBreakerTest,13,0,0,0,0.017
io.questdb.test.cairo.sql.PageFrameMemoryRecordTest,1,0,0,0,0.0
io.questdb.test.cairo.sql.SqlExecutionCircuitBreakerWrapperTest,2,0,0,0,0.012
io.questdb.test.cairo.sql.async.PageFrameReduceDispatcherTest,53,0,0,0,0.89
io.questdb.test.cairo.sql.async.PageFrameReduceTaskTest,18,0,0,0,0.004
io.questdb.test.cairo.sql.async.QueryParallelFiberDispatcherTest,40,0,0,0,2.477
io.questdb.test.griffin.AsyncHashJoinGroupByTest,45,0,0,0,10.006
io.questdb.test.griffin.GroupByRewriteTest,33,0,0,0,1.285
io.questdb.test.griffin.GroupByTest,119,0,0,0,6.211
io.questdb.test.griffin.HashJoinGroupByCandidateTest,12,0,0,0,1.023
io.questdb.test.griffin.HashJoinGroupByConcurrentTest,3,0,0,0,1.11
io.questdb.test.griffin.HashJoinGroupByFunctionsTest,14,0,0,0,1.208
io.questdb.test.griffin.HashJoinGroupByPlannerTest,12,0,0,0,1.596
io.questdb.test.griffin.HashJoinGroupByQualificationTest,10,0,0,0,4.058
io.questdb.test.griffin.HashJoinGroupBySemanticTest,8,0,0,0,7.294
io.questdb.test.griffin.HorizonJoinTest,172,0,0,0,21.424
io.questdb.test.griffin.IntervalFilterTest,28,0,0,0,1.041
io.questdb.test.griffin.IntervalSearchOpenPartitionTrackingTest,8,0,0,0,0.298
io.questdb.test.griffin.PageFrameCursorTest,6,0,0,0,0.257
io.questdb.test.griffin.ParallelFilterTest,49,0,0,1,10.764
io.questdb.test.griffin.ParallelGroupByMemoryTrackerTest,9,0,0,0,2.113
io.questdb.test.griffin.ParallelHorizonJoinMemoryTrackerTest,14,0,0,0,4.941
io.questdb.test.griffin.ParallelParquetMemoryTrackerTest,5,0,0,0,1.728
io.questdb.test.griffin.ParquetMemoryTrackerTest,6,0,0,0,0.662
io.questdb.test.griffin.ParquetRowGroupPruningTest,186,0,0,0,11.251
io.questdb.test.griffin.QueryRegistryMemoryTrackerTest,9,0,0,0,0.146
io.questdb.test.griffin.SqlCodeGeneratorWorkerFunctionExtractionTest,11,0,0,0,0.107
io.questdb.test.griffin.SqlOptimiserTest,175,0,0,0,9.24
io.questdb.test.griffin.SymbolPatternIndexTest,117,0,0,0,8.834
io.questdb.test.griffin.TimeFrameCursorTest,42,0,0,0,3.465
io.questdb.test.griffin.engine.QueryProgressValidationTest,4,0,0,0,0.046
io.questdb.test.griffin.engine.SqlCodeGeneratorTest,332,0,0,1,23.798
io.questdb.test.griffin.engine.functions.groupby.AvgDoubleGroupByFunctionFactoryTest,9,0,0,0,0.185
io.questdb.test.griffin.engine.functions.groupby.CountSymbolGroupByFunctionFactoryTest,9,0,0,0,0.389
io.questdb.test.griffin.engine.groupby.CountColumnTest,14,0,0,0,2.589
io.questdb.test.griffin.engine.groupby.CountTest,11,0,0,0,0.577
io.questdb.test.griffin.engine.groupby.GroupByFunctionsUpdaterFactoryTest,2,0,0,0,0.002
io.questdb.test.griffin.engine.groupby.GroupByUtilsTest,17,0,0,0,0.004
io.questdb.test.griffin.engine.groupby.PostAggregationCircuitBreakerTest,11,0,0,0,0.012
io.questdb.test.griffin.engine.groupby.SortedRunsMergeTest,16,0,0,0,0.019
io.questdb.test.griffin.engine.join.HashJoinTest,11,0,0,0,1.943
io.questdb.test.griffin.engine.join.IntHashJoinBuildTest,23,0,0,0,0.314
io.questdb.test.griffin.engine.join.JoinRecordMetadataTest,10,0,0,0,0.089
io.questdb.test.griffin.engine.table.AsyncFilterAtomTest,2,0,0,0,0.008
io.questdb.test.griffin.engine.table.AsyncFilterContextTest,8,0,0,0,0.344
io.questdb.test.griffin.engine.table.AsyncFilterFactoryConstructorTest,7,0,0,0,0.235
io.questdb.test.griffin.engine.table.AsyncFilteredRecordCursorFactoryCleanupTest,4,0,0,0,0.009
io.questdb.test.griffin.engine.table.AsyncFilteredRecordCursorFactoryTest,37,0,0,0,11.705
io.questdb.test.griffin.engine.table.GroupByMapFragmentTest,3,0,0,0,0.01
io.questdb.test.griffin.engine.table.PageFrameCursorReleasePartitionTest,11,0,0,0,0.876
io.questdb.test.griffin.engine.table.PageFrameRecordCursorImplFactoryTest,48,0,0,0,9.857
io.questdb.test.griffin.engine.table.PageFrameScanCancellationTest,3,0,0,0,0.134
io.questdb.test.griffin.engine.table.parquet.ReadParquetCancellationTest,2,0,0,0,0.085
io.questdb.test.std.DirectIntListTest,11,0,0,0,0.004
io.questdb.test.cairo.map.MapTest,112,0,0,11,1.938
io.questdb.test.cairo.map.UnorderedVarcharMapTest,19,0,0,0,0.232
