keys,fanout,arm,repetition,run,build_ns,probe_ns,build_bytes,matched_pairs,checksum
10000,1,copied,0,0,997936,17976370,786560,199318,23909551.88
10000,1,row-id,0,0,723943,28292402,327692,199318,23909551.88
10000,1,row-id,0,1,357268,25579652,327692,199318,23909551.88
10000,1,copied,0,1,595513,13706179,786560,199318,23909551.88
10000,1,copied,0,2,549537,13318143,786560,199318,23909551.88
10000,1,row-id,0,2,290002,24056745,327692,199318,23909551.88
10000,1,row-id,0,3,284351,24145791,327692,199318,23909551.88
10000,1,copied,0,3,529680,13077914,786560,199318,23909551.88
10000,1,copied,0,4,518779,13791578,786560,199318,23909551.88
10000,1,row-id,0,4,371144,26275933,327692,199318,23909551.88
10000,1,row-id,0,5,294851,23964403,327692,199318,23909551.88
10000,1,copied,0,5,576568,19762969,786560,199318,23909551.88
10000,1,copied,0,6,527977,19453030,786560,199318,23909551.88
10000,1,row-id,0,6,292407,24844007,327692,199318,23909551.88
10000,1,row-id,0,7,281627,23400519,327692,199318,23909551.88
10000,1,copied,0,7,551871,18865762,786560,199318,23909551.88
10000,1,copied,0,8,746205,20604443,786560,199318,23909551.88
10000,1,row-id,0,8,295202,23638914,327692,199318,23909551.88
10000,1,row-id,0,9,274653,23506056,327692,199318,23909551.88
10000,1,copied,0,9,519521,18357272,786560,199318,23909551.88
10000,1,row-id,1,0,390249,25340364,327692,199318,23909551.88
10000,1,copied,1,0,560698,18711404,786560,199318,23909551.88
10000,1,copied,1,1,523879,18556083,786560,199318,23909551.88
10000,1,row-id,1,1,280324,24569724,327692,199318,23909551.88
10000,1,row-id,1,2,272910,24527865,327692,199318,23909551.88
10000,1,copied,1,2,522065,19145966,786560,199318,23909551.88
10000,1,copied,1,3,505665,18492525,786560,199318,23909551.88
10000,1,row-id,1,3,285434,24719053,327692,199318,23909551.88
10000,1,row-id,1,4,379188,24229167,327692,199318,23909551.88
10000,1,copied,1,4,606093,20884846,786560,199318,23909551.88
10000,1,copied,1,5,563333,20018937,786560,199318,23909551.88
10000,1,row-id,1,5,326180,24796959,327692,199318,23909551.88
10000,1,row-id,1,6,392724,25381070,327692,199318,23909551.88
10000,1,copied,1,6,638904,22838719,786560,199318,23909551.88
10000,1,copied,1,7,546952,20038245,786560,199318,23909551.88
10000,1,row-id,1,7,281586,24406919,327692,199318,23909551.88
10000,1,row-id,1,8,338082,24904129,327692,199318,23909551.88
10000,1,copied,1,8,648693,18787386,786560,199318,23909551.88
10000,1,copied,1,9,683618,19492884,786560,199318,23909551.88
10000,1,row-id,1,9,307305,24173995,327692,199318,23909551.88
100000,1,copied,0,0,5329161,30812502,8388736,200188,24213306.38
100000,1,row-id,0,0,4800112,23850119,5242892,200188,24213306.38
100000,1,row-id,0,1,3288106,21552404,5242892,200188,24213306.38
100000,1,copied,0,1,4728508,24091921,8388736,200188,24213306.38
100000,1,copied,0,2,4841339,26076871,8388736,200188,24213306.38
100000,1,row-id,0,2,3927742,27948549,5242892,200188,24213306.38
100000,1,row-id,0,3,3483441,22073828,5242892,200188,24213306.38
