case,execution,thread,heap_bytes,shared_framework_bytes,fused_bytes
native-owner-8192-1-inner-plain,execution1,alloc_worker_0,0,0,0
native-owner-8192-1-inner-plain,execution1,alloc_worker_1,0,0,0
native-owner-8192-1-inner-plain,execution1,alloc_worker_2,0,0,0
native-owner-8192-1-inner-plain,execution1,alloc_worker_3,0,0,0
native-owner-8192-1-inner-plain,execution1,owner,544,544,0
native-owner-8192-1-inner-plain,execution2,alloc_worker_0,0,0,0
native-owner-8192-1-inner-plain,execution2,alloc_worker_1,0,0,0
native-owner-8192-1-inner-plain,execution2,alloc_worker_2,0,0,0
native-owner-8192-1-inner-plain,execution2,alloc_worker_3,0,0,0
native-owner-8192-1-inner-plain,execution2,owner,544,544,0
native-owner-8192-1-inner-plain,execution3,alloc_worker_0,0,0,0
native-owner-8192-1-inner-plain,execution3,alloc_worker_1,0,0,0
native-owner-8192-1-inner-plain,execution3,alloc_worker_2,0,0,0
native-owner-8192-1-inner-plain,execution3,alloc_worker_3,0,0,0
native-owner-8192-1-inner-plain,execution3,owner,544,544,0
native-owner-65536-2-inner-plain,execution1,alloc_peer,544,544,0
native-owner-65536-2-inner-plain,execution1,alloc_worker_0,0,0,0
native-owner-65536-2-inner-plain,execution1,alloc_worker_1,0,0,0
native-owner-65536-2-inner-plain,execution1,alloc_worker_2,0,0,0
native-owner-65536-2-inner-plain,execution1,alloc_worker_3,0,0,0
native-owner-65536-2-inner-plain,execution1,owner,544,544,0
native-owner-65536-2-inner-plain,execution2,alloc_peer,544,544,0
native-owner-65536-2-inner-plain,execution2,alloc_worker_0,0,0,0
native-owner-65536-2-inner-plain,execution2,alloc_worker_1,0,0,0
native-owner-65536-2-inner-plain,execution2,alloc_worker_2,0,0,0
native-owner-65536-2-inner-plain,execution2,alloc_worker_3,0,0,0
native-owner-65536-2-inner-plain,execution2,owner,544,544,0
native-owner-65536-2-inner-plain,execution3,alloc_peer,544,544,0
native-owner-65536-2-inner-plain,execution3,alloc_worker_0,0,0,0
native-owner-65536-2-inner-plain,execution3,alloc_worker_1,0,0,0
native-owner-65536-2-inner-plain,execution3,alloc_worker_2,0,0,0
native-owner-65536-2-inner-plain,execution3,alloc_worker_3,0,0,0
native-owner-65536-2-inner-plain,execution3,owner,544,544,0
native-sharded-8192-1-left-plain,execution1,alloc_worker_0,0,0,0
native-sharded-8192-1-left-plain,execution1,alloc_worker_1,0,0,0
native-sharded-8192-1-left-plain,execution1,alloc_worker_2,0,0,0
native-sharded-8192-1-left-plain,execution1,alloc_worker_3,0,0,0
native-sharded-8192-1-left-plain,execution1,owner,544,544,0
native-sharded-8192-1-left-plain,execution2,alloc_worker_0,0,0,0
native-sharded-8192-1-left-plain,execution2,alloc_worker_1,0,0,0
native-sharded-8192-1-left-plain,execution2,alloc_worker_2,0,0,0
native-sharded-8192-1-left-plain,execution2,alloc_worker_3,0,0,0
native-sharded-8192-1-left-plain,execution2,owner,544,544,0
native-sharded-8192-1-left-plain,execution3,alloc_worker_0,0,0,0
native-sharded-8192-1-left-plain,execution3,alloc_worker_1,0,0,0
native-sharded-8192-1-left-plain,execution3,alloc_worker_2,0,0,0
native-sharded-8192-1-left-plain,execution3,alloc_worker_3,0,0,0
native-sharded-8192-1-left-plain,execution3,owner,544,544,0
native-sharded-65536-2-left-plain,execution1,alloc_peer,848,848,0
native-sharded-65536-2-left-plain,execution1,alloc_worker_0,0,0,0
native-sharded-65536-2-left-plain,execution1,alloc_worker_1,0,0,0
native-sharded-65536-2-left-plain,execution1,alloc_worker_2,0,0,0
native-sharded-65536-2-left-plain,execution1,alloc_worker_3,0,0,0
native-sharded-65536-2-left-plain,execution1,owner,824,824,0
native-sharded-65536-2-left-plain,execution2,alloc_peer,544,544,0
native-sharded-65536-2-left-plain,execution2,alloc_worker_0,0,0,0
native-sharded-65536-2-left-plain,execution2,alloc_worker_1,0,0,0
native-sharded-65536-2-left-plain,execution2,alloc_worker_2,0,0,0
native-sharded-65536-2-left-plain,execution2,alloc_worker_3,0,0,0
native-sharded-65536-2-left-plain,execution2,owner,544,544,0
native-sharded-65536-2-left-plain,execution3,alloc_peer,544,544,0
native-sharded-65536-2-left-plain,execution3,alloc_worker_0,0,0,0
native-sharded-65536-2-left-plain,execution3,alloc_worker_1,0,0,0
native-sharded-65536-2-left-plain,execution3,alloc_worker_2,0,0,0
native-sharded-65536-2-left-plain,execution3,alloc_worker_3,0,0,0
native-sharded-65536-2-left-plain,execution3,owner,544,544,0
native-scalar-8192-1-right-plain,execution1,alloc_worker_0,0,0,0
native-scalar-8192-1-right-plain,execution1,alloc_worker_1,0,0,0
native-scalar-8192-1-right-plain,execution1,alloc_worker_2,0,0,0
native-scalar-8192-1-right-plain,execution1,alloc_worker_3,0,0,0
native-scalar-8192-1-right-plain,execution1,owner,544,544,0
native-scalar-8192-1-right-plain,execution2,alloc_worker_0,0,0,0
native-scalar-8192-1-right-plain,execution2,alloc_worker_1,0,0,0
native-scalar-8192-1-right-plain,execution2,alloc_worker_2,0,0,0
native-scalar-8192-1-right-plain,execution2,alloc_worker_3,0,0,0
native-scalar-8192-1-right-plain,execution2,owner,544,544,0
native-scalar-8192-1-right-plain,execution3,alloc_worker_0,0,0,0
native-scalar-8192-1-right-plain,execution3,alloc_worker_1,0,0,0
native-scalar-8192-1-right-plain,execution3,alloc_worker_2,0,0,0
native-scalar-8192-1-right-plain,execution3,alloc_worker_3,0,0,0
native-scalar-8192-1-right-plain,execution3,owner,544,544,0
native-scalar-65536-2-right-plain,execution1,alloc_peer,544,544,0
native-scalar-65536-2-right-plain,execution1,alloc_worker_0,0,0,0
native-scalar-65536-2-right-plain,execution1,alloc_worker_1,0,0,0
native-scalar-65536-2-right-plain,execution1,alloc_worker_2,0,0,0
native-scalar-65536-2-right-plain,execution1,alloc_worker_3,0,0,0
native-scalar-65536-2-right-plain,execution1,owner,544,544,0
native-scalar-65536-2-right-plain,execution2,alloc_peer,544,544,0
native-scalar-65536-2-right-plain,execution2,alloc_worker_0,0,0,0
native-scalar-65536-2-right-plain,execution2,alloc_worker_1,0,0,0
native-scalar-65536-2-right-plain,execution2,alloc_worker_2,0,0,0
native-scalar-65536-2-right-plain,execution2,alloc_worker_3,0,0,0
native-scalar-65536-2-right-plain,execution2,owner,544,544,0
native-scalar-65536-2-right-plain,execution3,alloc_peer,544,544,0
native-scalar-65536-2-right-plain,execution3,alloc_worker_0,0,0,0
native-scalar-65536-2-right-plain,execution3,alloc_worker_1,0,0,0
native-scalar-65536-2-right-plain,execution3,alloc_worker_2,0,0,0
native-scalar-65536-2-right-plain,execution3,alloc_worker_3,0,0,0
native-scalar-65536-2-right-plain,execution3,owner,544,544,0
mixed-owner-8192-1-inner-plain,execution1,alloc_worker_0,0,0,0
mixed-owner-8192-1-inner-plain,execution1,alloc_worker_1,0,0,0
mixed-owner-8192-1-inner-plain,execution1,alloc_worker_2,0,0,0
mixed-owner-8192-1-inner-plain,execution1,alloc_worker_3,0,0,0
mixed-owner-8192-1-inner-plain,execution1,owner,544,544,0
mixed-owner-8192-1-inner-plain,execution2,alloc_worker_0,0,0,0
mixed-owner-8192-1-inner-plain,execution2,alloc_worker_1,0,0,0
mixed-owner-8192-1-inner-plain,execution2,alloc_worker_2,0,0,0
mixed-owner-8192-1-inner-plain,execution2,alloc_worker_3,0,0,0
mixed-owner-8192-1-inner-plain,execution2,owner,544,544,0
mixed-owner-8192-1-inner-plain,execution3,alloc_worker_0,0,0,0
mixed-owner-8192-1-inner-plain,execution3,alloc_worker_1,0,0,0
mixed-owner-8192-1-inner-plain,execution3,alloc_worker_2,0,0,0
mixed-owner-8192-1-inner-plain,execution3,alloc_worker_3,0,0,0
mixed-owner-8192-1-inner-plain,execution3,owner,544,544,0
mixed-owner-65536-2-inner-plain,execution1,alloc_peer,544,544,0
mixed-owner-65536-2-inner-plain,execution1,alloc_worker_0,0,0,0
mixed-owner-65536-2-inner-plain,execution1,alloc_worker_1,0,0,0
mixed-owner-65536-2-inner-plain,execution1,alloc_worker_2,0,0,0
mixed-owner-65536-2-inner-plain,execution1,alloc_worker_3,0,0,0
mixed-owner-65536-2-inner-plain,execution1,owner,544,544,0
mixed-owner-65536-2-inner-plain,execution2,alloc_peer,544,544,0
mixed-owner-65536-2-inner-plain,execution2,alloc_worker_0,0,0,0
mixed-owner-65536-2-inner-plain,execution2,alloc_worker_1,0,0,0
mixed-owner-65536-2-inner-plain,execution2,alloc_worker_2,0,0,0
mixed-owner-65536-2-inner-plain,execution2,alloc_worker_3,0,0,0
mixed-owner-65536-2-inner-plain,execution2,owner,544,544,0
mixed-owner-65536-2-inner-plain,execution3,alloc_peer,544,544,0
mixed-owner-65536-2-inner-plain,execution3,alloc_worker_0,0,0,0
mixed-owner-65536-2-inner-plain,execution3,alloc_worker_1,0,0,0
mixed-owner-65536-2-inner-plain,execution3,alloc_worker_2,0,0,0
mixed-owner-65536-2-inner-plain,execution3,alloc_worker_3,0,0,0
mixed-owner-65536-2-inner-plain,execution3,owner,544,544,0
mixed-sharded-8192-1-left-plain,execution1,alloc_worker_0,0,0,0
mixed-sharded-8192-1-left-plain,execution1,alloc_worker_1,0,0,0
mixed-sharded-8192-1-left-plain,execution1,alloc_worker_2,0,0,0
mixed-sharded-8192-1-left-plain,execution1,alloc_worker_3,0,0,0
mixed-sharded-8192-1-left-plain,execution1,owner,544,544,0
mixed-sharded-8192-1-left-plain,execution2,alloc_worker_0,0,0,0
mixed-sharded-8192-1-left-plain,execution2,alloc_worker_1,0,0,0
mixed-sharded-8192-1-left-plain,execution2,alloc_worker_2,0,0,0
mixed-sharded-8192-1-left-plain,execution2,alloc_worker_3,0,0,0
mixed-sharded-8192-1-left-plain,execution2,owner,544,544,0
mixed-sharded-8192-1-left-plain,execution3,alloc_worker_0,0,0,0
mixed-sharded-8192-1-left-plain,execution3,alloc_worker_1,0,0,0
mixed-sharded-8192-1-left-plain,execution3,alloc_worker_2,0,0,0
mixed-sharded-8192-1-left-plain,execution3,alloc_worker_3,0,0,0
mixed-sharded-8192-1-left-plain,execution3,owner,544,544,0
mixed-sharded-65536-2-left-plain,execution1,alloc_peer,544,544,0
mixed-sharded-65536-2-left-plain,execution1,alloc_worker_0,0,0,0
mixed-sharded-65536-2-left-plain,execution1,alloc_worker_1,0,0,0
mixed-sharded-65536-2-left-plain,execution1,alloc_worker_2,0,0,0
mixed-sharded-65536-2-left-plain,execution1,alloc_worker_3,0,0,0
mixed-sharded-65536-2-left-plain,execution1,owner,544,544,0
mixed-sharded-65536-2-left-plain,execution2,alloc_peer,544,544,0
mixed-sharded-65536-2-left-plain,execution2,alloc_worker_0,0,0,0
mixed-sharded-65536-2-left-plain,execution2,alloc_worker_1,0,0,0
mixed-sharded-65536-2-left-plain,execution2,alloc_worker_2,0,0,0
mixed-sharded-65536-2-left-plain,execution2,alloc_worker_3,0,0,0
mixed-sharded-65536-2-left-plain,execution2,owner,544,544,0
mixed-sharded-65536-2-left-plain,execution3,alloc_peer,544,544,0
mixed-sharded-65536-2-left-plain,execution3,alloc_worker_0,0,0,0
mixed-sharded-65536-2-left-plain,execution3,alloc_worker_1,0,0,0
mixed-sharded-65536-2-left-plain,execution3,alloc_worker_2,0,0,0
mixed-sharded-65536-2-left-plain,execution3,alloc_worker_3,0,0,0
mixed-sharded-65536-2-left-plain,execution3,owner,544,544,0
mixed-scalar-8192-1-right-plain,execution1,alloc_worker_0,0,0,0
mixed-scalar-8192-1-right-plain,execution1,alloc_worker_1,0,0,0
mixed-scalar-8192-1-right-plain,execution1,alloc_worker_2,0,0,0
mixed-scalar-8192-1-right-plain,execution1,alloc_worker_3,0,0,0
mixed-scalar-8192-1-right-plain,execution1,owner,544,544,0
mixed-scalar-8192-1-right-plain,execution2,alloc_worker_0,0,0,0
mixed-scalar-8192-1-right-plain,execution2,alloc_worker_1,0,0,0
mixed-scalar-8192-1-right-plain,execution2,alloc_worker_2,0,0,0
mixed-scalar-8192-1-right-plain,execution2,alloc_worker_3,0,0,0
mixed-scalar-8192-1-right-plain,execution2,owner,544,544,0
mixed-scalar-8192-1-right-plain,execution3,alloc_worker_0,0,0,0
mixed-scalar-8192-1-right-plain,execution3,alloc_worker_1,0,0,0
mixed-scalar-8192-1-right-plain,execution3,alloc_worker_2,0,0,0
mixed-scalar-8192-1-right-plain,execution3,alloc_worker_3,0,0,0
mixed-scalar-8192-1-right-plain,execution3,owner,544,544,0
mixed-scalar-65536-2-right-plain,execution1,alloc_peer,544,544,0
mixed-scalar-65536-2-right-plain,execution1,alloc_worker_0,0,0,0
mixed-scalar-65536-2-right-plain,execution1,alloc_worker_1,0,0,0
mixed-scalar-65536-2-right-plain,execution1,alloc_worker_2,0,0,0
mixed-scalar-65536-2-right-plain,execution1,alloc_worker_3,0,0,0
mixed-scalar-65536-2-right-plain,execution1,owner,544,544,0
mixed-scalar-65536-2-right-plain,execution2,alloc_peer,544,544,0
mixed-scalar-65536-2-right-plain,execution2,alloc_worker_0,0,0,0
mixed-scalar-65536-2-right-plain,execution2,alloc_worker_1,0,0,0
mixed-scalar-65536-2-right-plain,execution2,alloc_worker_2,0,0,0
mixed-scalar-65536-2-right-plain,execution2,alloc_worker_3,0,0,0
mixed-scalar-65536-2-right-plain,execution2,owner,544,544,0
mixed-scalar-65536-2-right-plain,execution3,alloc_peer,544,544,0
mixed-scalar-65536-2-right-plain,execution3,alloc_worker_0,0,0,0
mixed-scalar-65536-2-right-plain,execution3,alloc_worker_1,0,0,0
mixed-scalar-65536-2-right-plain,execution3,alloc_worker_2,0,0,0
mixed-scalar-65536-2-right-plain,execution3,alloc_worker_3,0,0,0
mixed-scalar-65536-2-right-plain,execution3,owner,544,544,0
parquet-owner-8192-1-inner-plain,execution1,alloc_worker_0,0,0,0
parquet-owner-8192-1-inner-plain,execution1,alloc_worker_1,0,0,0
parquet-owner-8192-1-inner-plain,execution1,alloc_worker_2,0,0,0
parquet-owner-8192-1-inner-plain,execution1,alloc_worker_3,0,0,0
parquet-owner-8192-1-inner-plain,execution1,owner,544,544,0
parquet-owner-8192-1-inner-plain,execution2,alloc_worker_0,0,0,0
parquet-owner-8192-1-inner-plain,execution2,alloc_worker_1,0,0,0
parquet-owner-8192-1-inner-plain,execution2,alloc_worker_2,0,0,0
parquet-owner-8192-1-inner-plain,execution2,alloc_worker_3,0,0,0
parquet-owner-8192-1-inner-plain,execution2,owner,544,544,0
parquet-owner-8192-1-inner-plain,execution3,alloc_worker_0,0,0,0
parquet-owner-8192-1-inner-plain,execution3,alloc_worker_1,0,0,0
parquet-owner-8192-1-inner-plain,execution3,alloc_worker_2,0,0,0
parquet-owner-8192-1-inner-plain,execution3,alloc_worker_3,0,0,0
parquet-owner-8192-1-inner-plain,execution3,owner,544,544,0
parquet-owner-65536-2-inner-plain,execution1,alloc_peer,544,544,0
parquet-owner-65536-2-inner-plain,execution1,alloc_worker_0,0,0,0
parquet-owner-65536-2-inner-plain,execution1,alloc_worker_1,0,0,0
parquet-owner-65536-2-inner-plain,execution1,alloc_worker_2,0,0,0
parquet-owner-65536-2-inner-plain,execution1,alloc_worker_3,0,0,0
parquet-owner-65536-2-inner-plain,execution1,owner,544,544,0
parquet-owner-65536-2-inner-plain,execution2,alloc_peer,544,544,0
parquet-owner-65536-2-inner-plain,execution2,alloc_worker_0,0,0,0
parquet-owner-65536-2-inner-plain,execution2,alloc_worker_1,0,0,0
parquet-owner-65536-2-inner-plain,execution2,alloc_worker_2,0,0,0
parquet-owner-65536-2-inner-plain,execution2,alloc_worker_3,0,0,0
parquet-owner-65536-2-inner-plain,execution2,owner,544,544,0
parquet-owner-65536-2-inner-plain,execution3,alloc_peer,544,544,0
parquet-owner-65536-2-inner-plain,execution3,alloc_worker_0,0,0,0
parquet-owner-65536-2-inner-plain,execution3,alloc_worker_1,0,0,0
parquet-owner-65536-2-inner-plain,execution3,alloc_worker_2,0,0,0
parquet-owner-65536-2-inner-plain,execution3,alloc_worker_3,0,0,0
parquet-owner-65536-2-inner-plain,execution3,owner,544,544,0
parquet-sharded-8192-1-left-plain,execution1,alloc_worker_0,0,0,0
parquet-sharded-8192-1-left-plain,execution1,alloc_worker_1,0,0,0
parquet-sharded-8192-1-left-plain,execution1,alloc_worker_2,0,0,0
