suite,tests,failures,errors,skipped,seconds
io.questdb.test.QueryAssertionCircuitBreakerTest,5,0,0,0,0.095
io.questdb.test.cairo.FullBwdPartitionFrameCursorTest,1,0,0,0,0.045
io.questdb.test.cairo.FullFwdPartitionFrameCursorTest,165,0,0,0,32.22
io.questdb.test.cairo.IntervalBwdPartitionFrameCursorTest,56,0,0,9,2.974
io.questdb.test.cairo.IntervalFwdPartitionFrameCursorTest,68,0,0,15,3.466
io.questdb.test.cairo.PageFrameAddressCacheTest,3,0,0,0,0.396
io.questdb.test.cairo.SymbolMapTest,31,0,0,0,33.65
io.questdb.test.cairo.covering.CoveringIndexParallelDecodeTest,30,0,0,0,5.338
io.questdb.test.cairo.lv.LiveViewPageFrameCursorTest,22,0,0,0,0.025
io.questdb.test.cairo.lv.LiveViewSymbolCacheConcurrencyTest,12,0,0,0,1.433
io.questdb.test.cairo.lv.LiveViewSymbolTableSourceTest,7,0,0,0,0.011
io.questdb.test.cairo.map.MapCursorCancellationTest,1,0,0,0,0.018
io.questdb.test.cairo.map.OrderedMapTest,53,0,0,0,2.738
io.questdb.test.cairo.map.ShardedMapCursorTest,3,0,0,0,0.011
io.questdb.test.cairo.map.Unordered4MapTest,20,0,0,0,0.040
io.questdb.test.cairo.map.Unordered8MapTest,17,0,0,0,0.041
io.questdb.test.cairo.parquet.ParquetColumnTypeConversionTest,105,0,0,0,136.8
io.questdb.test.cairo.sql.NetworkSqlExecutionCircuitBreakerTest,12,0,0,0,0.019
io.questdb.test.cairo.sql.PageFrameMemoryRecordTest,1,0,0,0,0
io.questdb.test.cairo.sql.SqlExecutionCircuitBreakerWrapperTest,2,0,0,0,0.010
io.questdb.test.cairo.sql.async.PageFrameReduceDispatcherTest,53,0,0,0,0.697
io.questdb.test.cairo.sql.async.PageFrameReduceTaskTest,18,0,0,0,0.004
io.questdb.test.cairo.sql.async.QueryParallelFiberDispatcherTest,40,0,0,0,1.861
io.questdb.test.griffin.AsyncHashJoinGroupByTest,43,0,0,0,5.975
io.questdb.test.griffin.GroupByRewriteTest,33,0,0,0,1.295
io.questdb.test.griffin.GroupByTest,119,0,0,0,6.147
io.questdb.test.griffin.HashJoinGroupByCandidateTest,12,0,0,0,1.006
io.questdb.test.griffin.HashJoinGroupByConcurrentTest,3,0,0,0,0.766
io.questdb.test.griffin.HashJoinGroupByFunctionsTest,14,0,0,0,1.210
io.questdb.test.griffin.HashJoinGroupByPlannerTest,12,0,0,0,1.600
io.questdb.test.griffin.HashJoinGroupByQualificationTest,10,0,0,0,4.094
io.questdb.test.griffin.HorizonJoinTest,172,0,0,0,21.44
io.questdb.test.griffin.IntervalFilterTest,28,0,0,0,1.043
io.questdb.test.griffin.IntervalSearchOpenPartitionTrackingTest,8,0,0,0,0.300
io.questdb.test.griffin.PageFrameCursorTest,6,0,0,0,0.269
io.questdb.test.griffin.ParallelFilterTest,49,0,0,1,10.58
io.questdb.test.griffin.ParallelGroupByMemoryTrackerTest,9,0,0,0,2.142
io.questdb.test.griffin.ParallelHorizonJoinMemoryTrackerTest,14,0,0,0,4.732
