suite,tests,failures,errors,skipped
io.questdb.test.griffin.ParallelHorizonJoinMemoryTrackerTest,14,0,0,0
io.questdb.test.griffin.ParquetRowGroupPruningTest,186,0,0,0
io.questdb.test.griffin.SymbolPatternIndexTest,117,0,0,0
io.questdb.test.griffin.HashJoinGroupByPlannerTest,12,0,0,0
io.questdb.test.griffin.HashJoinGroupByQualificationTest,10,0,0,0
io.questdb.test.griffin.ParallelParquetMemoryTrackerTest,5,0,0,0
io.questdb.test.griffin.GroupByRewriteTest,33,0,0,0
io.questdb.test.griffin.SqlOptimiserTest,175,0,0,0
io.questdb.test.griffin.HashJoinGroupByConcurrentTest,3,0,0,0
io.questdb.test.griffin.QueryRegistryMemoryTrackerTest,9,0,0,0
io.questdb.test.griffin.HashJoinGroupByFunctionsTest,14,0,0,0
io.questdb.test.griffin.AsyncHashJoinGroupByTest,37,0,0,0
io.questdb.test.griffin.ParquetMemoryTrackerTest,6,0,0,0
io.questdb.test.griffin.TimeFrameCursorTest,42,0,0,0
io.questdb.test.griffin.ParallelGroupByMemoryTrackerTest,9,0,0,0
io.questdb.test.griffin.PageFrameCursorTest,6,0,0,0
io.questdb.test.griffin.GroupByTest,119,0,0,0
io.questdb.test.griffin.HorizonJoinTest,172,0,0,0
io.questdb.test.griffin.SqlCodeGeneratorWorkerFunctionExtractionTest,11,0,0,0
io.questdb.test.griffin.engine.QueryProgressValidationTest,4,0,0,0
io.questdb.test.griffin.engine.join.IntHashJoinBuildTest,17,0,0,0
io.questdb.test.griffin.engine.join.JoinRecordMetadataTest,10,0,0,0
io.questdb.test.griffin.engine.join.HashJoinTest,11,0,0,0
io.questdb.test.griffin.engine.SqlCodeGeneratorTest,332,0,0,1
io.questdb.test.griffin.engine.functions.groupby.CountSymbolGroupByFunctionFactoryTest,9,0,0,0
io.questdb.test.griffin.engine.functions.groupby.AvgDoubleGroupByFunctionFactoryTest,9,0,0,0
io.questdb.test.griffin.engine.groupby.CountTest,11,0,0,0
io.questdb.test.griffin.engine.groupby.GroupByFunctionsUpdaterFactoryTest,2,0,0,0
io.questdb.test.griffin.engine.groupby.SortedRunsMergeTest,16,0,0,0
io.questdb.test.griffin.engine.groupby.CountColumnTest,14,0,0,0
io.questdb.test.griffin.engine.groupby.PostAggregationCircuitBreakerTest,11,0,0,0
io.questdb.test.griffin.engine.groupby.GroupByUtilsTest,17,0,0,0
io.questdb.test.griffin.engine.table.AsyncFilterContextTest,8,0,0,0
io.questdb.test.griffin.engine.table.PageFrameRecordCursorImplFactoryTest,48,0,0,0
io.questdb.test.griffin.engine.table.PageFrameScanCancellationTest,1,0,0,0
io.questdb.test.griffin.engine.table.parquet.ReadParquetCancellationTest,2,0,0,0
io.questdb.test.griffin.engine.table.AsyncFilteredRecordCursorFactoryTest,37,0,0,0
io.questdb.test.griffin.engine.table.GroupByMapFragmentTest,4,0,0,0
io.questdb.test.griffin.engine.table.PageFrameCursorReleasePartitionTest,11,0,0,0
io.questdb.test.griffin.ParallelFilterTest,49,0,0,1
io.questdb.test.griffin.HashJoinGroupByCandidateTest,12,0,0,0
io.questdb.test.cairo.map.Unordered8MapTest,17,0,0,0
io.questdb.test.cairo.map.Unordered4MapTest,20,0,0,0
io.questdb.test.cairo.map.OrderedMapTest,53,0,0,0
io.questdb.test.cairo.parquet.ParquetColumnTypeConversionTest,105,0,0,0
io.questdb.test.cairo.covering.CoveringIndexParallelDecodeTest,30,0,0,0
io.questdb.test.cairo.lv.LiveViewPageFrameCursorTest,22,0,0,0
io.questdb.test.cairo.sql.async.PageFrameReduceTaskTest,18,0,0,0
io.questdb.test.cairo.sql.async.QueryParallelFiberDispatcherTest,40,0,0,0
io.questdb.test.cairo.sql.PageFrameMemoryRecordTest,1,0,0,0
io.questdb.test.cairo.PageFrameAddressCacheTest,3,0,0,0
io.questdb.test.std.DirectIntListTest,11,0,0,0
