storage,mode,dimension,cardinality,phase,heap_bytes,heap_objects,largest_array_bytes,query_native_bytes
native,owner,rows,1024,live1,331440,6563,16400,18336
native,owner,rows,1024,output1,331440,6563,16400,18336
native,owner,rows,1024,closed1,329776,6515,16400,0
native,owner,rows,1024,live2,331768,6563,16400,18336
native,owner,rows,1024,output2,331768,6563,16400,18336
native,owner,rows,1024,closed2,330104,6515,16400,0
native,owner,rows,8192,live1,332520,6563,16400,51616
native,owner,rows,8192,output1,332520,6563,16400,51616
native,owner,rows,8192,closed1,330856,6515,16400,0
native,owner,rows,8192,live2,332520,6563,16400,51616
native,owner,rows,8192,output2,332520,6563,16400,51616
native,owner,rows,8192,closed2,330856,6515,16400,0
native,owner,rows,65536,live1,332664,6563,16400,345504
native,owner,rows,65536,output1,332664,6563,16400,345504
native,owner,rows,65536,closed1,331000,6515,16400,0
native,owner,rows,65536,live2,332664,6563,16400,345504
native,owner,rows,65536,output2,332664,6563,16400,345504
native,owner,rows,65536,closed2,331000,6515,16400,0
native,owner,rows,262144,live1,332696,6563,16400,1353120
native,owner,rows,262144,output1,332696,6563,16400,1353120
native,owner,rows,262144,closed1,331032,6515,16400,0
native,owner,rows,262144,live2,332696,6563,16400,1353120
native,owner,rows,262144,output2,332696,6563,16400,1353120
native,owner,rows,262144,closed2,331032,6515,16400,0
native,owner,keys,1024,live1,332728,6563,16400,79776
native,owner,keys,1024,output1,332728,6563,16400,79776
native,owner,keys,1024,closed1,331064,6515,16400,0
native,owner,keys,1024,live2,332728,6563,16400,79776
native,owner,keys,1024,output2,332728,6563,16400,79776
native,owner,keys,1024,closed2,331064,6515,16400,0
native,owner,keys,8192,live1,332752,6563,16400,571808
native,owner,keys,8192,output1,332752,6563,16400,571808
native,owner,keys,8192,closed1,331088,6515,16400,0
native,owner,keys,8192,live2,332752,6563,16400,571808
native,owner,keys,8192,output2,332752,6563,16400,571808
native,owner,keys,8192,closed2,331088,6515,16400,0
native,owner,keys,65536,live1,332752,6563,16400,4535712
native,owner,keys,65536,output1,332752,6563,16400,4535712
native,owner,keys,65536,closed1,331088,6515,16400,0
native,owner,keys,65536,live2,332752,6563,16400,4535712
native,owner,keys,65536,output2,332752,6563,16400,4535712
native,owner,keys,65536,closed2,331088,6515,16400,0
native,owner,keys,262144,live1,332752,6563,16400,18126240
native,owner,keys,262144,output1,332752,6563,16400,18126240
native,owner,keys,262144,closed1,331088,6515,16400,0
native,owner,keys,262144,live2,332752,6563,16400,18126240
native,owner,keys,262144,output2,332752,6563,16400,18126240
native,owner,keys,262144,closed2,331088,6515,16400,0
native,owner,symbols_groups,1024,live1,332752,6563,16400,180768
native,owner,symbols_groups,1024,output1,332752,6563,16400,180768
native,owner,symbols_groups,1024,closed1,331088,6515,16400,0
native,owner,symbols_groups,1024,live2,332752,6563,16400,180768
native,owner,symbols_groups,1024,output2,332752,6563,16400,180768
native,owner,symbols_groups,1024,closed2,331088,6515,16400,0
native,owner,symbols_groups,8192,live1,332752,6563,16400,1483808
native,owner,symbols_groups,8192,output1,332752,6563,16400,1483808
