case,repetition,arm,samples,median_ms,min_ms,max_ms,speedup,groups,sampled_query_peak_bytes_median,sampled_query_peak_bytes_max,sampled_batch_native_peak_delta_bytes_median,sampled_batch_native_peak_delta_bytes_max,sampled_native_peak_delta_bytes_median,sampled_native_peak_delta_bytes_max,retained_query_bytes_median,retained_query_bytes_max,retained_native_delta_bytes_median,retained_native_delta_bytes_max,build_ns_median,init_ns_median,probe_ns_median,merge_ns_median,build_rows_median,build_keys_median,build_bytes_median,scanned_rows_median,matched_pairs_median,null_extended_rows_median,surviving_rows_median,merge_cardinality_median,batch_median_ms,queries_per_second
compressed-groups,0,baseline,10,650.2690085,648.411597,661.903145,1.0,6000,1077260.0,1077260,1077516.0,1077516,,,1077260.0,1077260,,,,,,,,,,,,,,,650.522036,1.5372269418402915
compressed-groups,0,candidate,10,116.4212915,114.420625,122.437309,5.5854818317317845,6000,6742016.0,6742016,6742016.0,6742016,,,1630208.0,1630208,,,375777.5,69129.0,113459884.5,509657.0,100.0,100.0,6144.0,10000000.0,10000000.0,0.0,10000000.0,6000.0,116.7260295,8.567069438440893
compressed-groups,1,baseline,10,650.622029,648.401529,653.890352,1.0,6000,1077260.0,1077260,1077516.0,1077516,,,1077260.0,1077260,,,,,,,,,,,,,,,650.843608,1.5364674212180325
compressed-groups,1,candidate,10,115.268615,113.128392,118.821136,5.644398772380495,6000,6742016.0,6742016,6742016.0,6742016,,,1630208.0,1630208,,,292792.0,59746.5,112826703.5,462904.5,100.0,100.0,6144.0,10000000.0,10000000.0,0.0,10000000.0,6000.0,115.5235865,8.656240948682804
concurrent-2,0,baseline,20,238.8260605,236.682231,243.497432,1.0,120,494604.0,864020,989744.0,1643664,,,494604.0,494604,,,,,,,,,,,,,,,239.387364,8.354659855814278
concurrent-2,0,candidate,20,58.433093,33.917675,67.800916,4.087171296922448,120,1020272.0,1443208,2040544.0,2610440,,,979120.0,979120,,,1043920.5,52513.5,56769800.5,204988.0,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,65.8983525,30.34977240136618
concurrent-2,1,baseline,20,238.0472825,236.253041,240.644183,1.0,120,494604.0,494604,989744.0,989744,,,494604.0,494604,,,,,,,,,,,,,,,238.2574195,8.394282134831903
concurrent-2,1,candidate,20,56.6891,33.104997,66.672649,4.199172018959553,120,1020272.0,1058600,2040544.0,2130464,,,979120.0,979120,,,825151.0,50448.5,55640031.0,69830.0,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,61.451572,32.545953421663484
concurrent-4,0,baseline,40,241.1522345,239.470693,245.488053,1.0,120,494604.0,877412,1979488.0,2575384,,,494604.0,494604,,,,,,,,,,,,,,,241.652018,16.552727484361416
concurrent-4,0,candidate,40,90.9177275,38.072126,145.304728,2.652422592722635,120,1020272.0,1443208,3978208.0,4221472,,,979120.0,979120,,,1047191.0,45014.0,89502404.0,78992.5,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,132.5626925,30.17440219841642
