case,repetition,reference_ms,historical_reference_ms,limit_reference_ms,candidate_ms,ratio,speedup,passed
compressed-groups,0,140.6575875,134.6623385,134.6623385,116.4212915,0.8645423271035798,5.5854818317317845,True
compressed-groups,1,143.443004,129.4597615,129.4597615,115.268615,0.8903817963545374,5.644398772380495,True
concurrent-2,0,64.4331815,58.486459,58.486459,58.433093,0.9990875494787604,4.087171296922448,True
concurrent-2,1,62.446859,59.2953155,59.2953155,56.6891,0.9560468566863431,4.199172018959553,True
concurrent-4,0,92.4840745,90.2062085,90.2062085,90.9177275,1.0078876943375799,2.652422592722635,True
concurrent-4,1,90.5376775,97.5939385,90.5376775,88.3868655,0.9762440117817248,2.7150194278583166,True
concurrent-scalar-left,0,212.276191,208.252867,208.252867,177.193753,0.8508586486830935,2.1554342409576934,True
concurrent-scalar-left,1,210.252335,207.4662775,207.4662775,175.5940715,0.846374040234081,2.1757263143135215,True
fanout-10,0,109.8944615,108.944179,108.944179,110.675455,1.0158914043493779,5.793713506757212,True
fanout-10,1,108.9435355,109.961606,108.9435355,111.642197,1.0247711944321836,5.732903988802728,True
high-cardinality,0,239.094879,234.2234585,234.2234585,226.851871,0.9685275439650294,1.9502931033793414,True
high-cardinality,1,212.275775,221.314536,212.275775,208.266284,0.9811118767556025,2.023733407083789,True
hot-chain,0,721.6826865,636.0957235,636.0957235,683.4521505,1.0744485857245354,5.3338402166604935,True
hot-chain,1,732.1865275,640.352122,640.352122,680.091378,1.0620584435261697,5.364989519834789,True
inner,0,34.7730075,37.803323,34.7730075,35.6669995,1.0257093666689603,6.927548040591415,True
inner,1,34.214244,35.9585605,34.214244,35.879858,1.048681888163304,6.6321063338656465,True
inner-swapped,0,34.191093,38.5167315,34.191093,20.784244,0.6078847493995,1.9421884192660557,True
inner-swapped,1,33.8846,37.7665545,33.8846,19.785924,0.5839208371944777,1.996283342642982,True
left,0,201.7511545,97.275004,97.275004,101.1592835,1.0399309107198804,5.901318088121887,True
left,1,200.6773355,96.36837,96.36837,97.197962,1.0086085507101552,6.082631110104963,True
left-swapped,0,42.1510285,33.7304925,33.7304925,21.325129,0.6322210978686422,1.9892063724444526,True
left-swapped,1,42.1456535,33.308754,33.308754,21.365174,0.641428196323405,1.9281826115715228,True
match-100pct,0,112.5372265,116.2684665,112.5372265,113.270769,1.0065182208840022,6.859624295479092,True
match-100pct,1,112.19383,115.837321,112.19383,111.9514375,0.9978395202303013,6.930842406556861,True
match-1pct,0,32.015357,31.9192725,31.9192725,31.628831,0.9909007481295196,5.08595281311535,True
match-1pct,1,30.895495,31.6867485,30.895495,31.4186185,1.016932031676463,5.119843509350992,True
mixed,0,38.9564245,39.787721,38.9564245,36.3162375,0.9322271734665999,8.957384324298463,True
mixed,1,38.2151095,38.524656,38.2151095,36.0034285,0.9421254831155201,9.00835174627883,True
parquet,0,43.2954935,43.1666905,43.1666905,41.355847,0.9580499806905511,7.860748880321566,True
parquet,1,42.085729,42.1675535,42.085729,40.867034,0.9710425593435722,7.913677390925899,True
parquet-scalar-right,0,9.144465,9.6203095,9.144465,8.243724,0.9014987754887793,24.0619859422756,True
parquet-scalar-right,1,8.4589535,7.92469,7.92469,7.3049105,0.921791325591285,27.400656380389602,True
post-null-accepting,0,92.1324375,93.484835,92.1324375,98.3929345,1.0679510622955135,6.505838846589132,True
post-null-accepting,1,91.456154,93.7593685,91.456154,96.0255395,1.0499625809762347,6.644698767873103,True
post-reject-all,0,29.8840855,30.088752,29.8840855,28.4385615,0.951628969874283,8.00763776325325,True
post-reject-all,1,29.193621,29.8119445,29.193621,28.159852,0.9645892162537837,8.088770281889266,True
primary-w1,0,754.9294655,732.0219335,732.0219335,770.390051,1.0524138905463547,2.896830656890194,True
primary-w1,1,749.54105,732.8175835,732.8175835,770.1651455,1.0509643366110635,2.897859710401553,True
primary-w2,0,501.0955875,496.497573,496.497573,484.6009445,0.9760388989857157,4.875811400734899,True
primary-w2,1,499.860058,495.844557,495.844557,483.806146,0.9757214013342492,4.875240333346241,True
primary-w4,0,313.995459,319.807557,313.995459,304.161965,0.9686826872231933,7.754778905376943,True
primary-w4,1,312.122682,321.5269595,312.122682,304.091523,0.9742692234074806,7.739234064410273,True
right,0,111.511536,111.938636,111.511536,114.542038,1.027176578394544,26.185754884158776,True
right,1,110.897936,118.359941,110.897936,108.897828,0.9819644253793867,27.552995000965492,True
right-swapped,0,45.5400865,44.324084,44.324084,20.352703,0.4591793256235143,1.1432253494781504,True
right-swapped,1,42.2774745,44.2226485,42.2774745,19.828183,0.46900112257178467,1.1788453082160881,True
scalar-inner,0,29.019392,29.808173,29.019392,28.1339775,0.9694888679955803,7.431702005164396,True
scalar-inner,1,28.289087,29.7513815,28.289087,27.50897,0.9724233942226557,7.519835475483088,True
scalar-left,0,63.493116,75.9939805,63.493116,44.6106785,0.7026065392663986,7.41889677826801,True
scalar-left,1,60.3833645,72.361848,60.3833645,44.625136,0.7390303003072973,7.397230049898336,True
scalar-right,0,60.294065,60.8018315,60.294065,50.139666,0.8315854305063026,54.193653683293384,True
scalar-right,1,55.6848835,59.3733815,55.6848835,49.24182,0.8842942088583161,55.20378132855365,True
zero-matches,0,7.595439,7.6482075,7.595439,6.226948,0.8198272673903378,10.468729946034559,True
zero-matches,1,8.6768295,7.360444,7.360444,6.461191,0.8778262561334615,10.058998797590103,True
