case,repetition,reference_ms,historical_reference_ms,limit_reference_ms,candidate_ms,ratio,speedup,passed
compressed-groups,0,140.6575875,134.6623385,134.6623385,121.2302885,0.9002538486289542,5.490004467819113,True
compressed-groups,1,143.443004,129.4597615,129.4597615,120.9229895,0.9340584912169794,5.5001869971135635,True
concurrent-2,0,64.4331815,58.486459,58.486459,62.1474965,1.0625963267839484,3.8356160412672455,True
concurrent-2,1,62.446859,59.2953155,59.2953155,62.405764,1.052456901085213,3.8017101513251244,True
concurrent-4,0,92.4840745,90.2062085,90.2062085,94.287803,1.0452473789539662,2.558195878209189,True
concurrent-4,1,90.5376775,97.5939385,90.5376775,99.4225845,1.098134911843746,2.4289901254779793,True
concurrent-scalar-left,0,212.276191,208.252867,208.252867,172.7977955,0.8297498996736501,1.9665826321262299,True
concurrent-scalar-left,1,210.252335,207.4662775,207.4662775,168.791538,0.8135854175144199,2.012215710126416,True
fanout-10,0,109.8944615,108.944179,108.944179,109.889125,1.0086736713119844,5.786176489256785,True
fanout-10,1,108.9435355,109.961606,108.9435355,109.6206775,1.0062155317145918,5.813369202174471,True
high-cardinality,0,239.094879,234.2234585,234.2234585,242.217432,1.0341296877400519,1.8609448286942452,True
high-cardinality,1,212.275775,221.314536,212.275775,231.4775445,1.0904567160336593,1.873239337045067,True
hot-chain,0,721.6826865,636.0957235,636.0957235,669.6497505,1.0527499647621825,5.4565712706854805,True
hot-chain,1,732.1865275,640.352122,640.352122,671.228862,1.048218376951049,5.4462324833701805,True
inner,0,34.7730075,37.803323,34.7730075,38.820845,1.116407460585628,6.218970401082202,False
inner,1,34.214244,35.9585605,34.214244,38.188012,1.1161436739622246,6.278588971848024,False
inner-swapped,0,34.191093,38.5167315,34.191093,34.255193,1.0018747572649986,1.1987878742939793,True
inner-swapped,1,33.8846,37.7665545,33.8846,32.1254875,0.9480851920931632,1.1930679651164826,True
left,0,201.7511545,97.275004,97.275004,100.5780775,1.0339560356121908,5.9620546982517135,True
left,1,200.6773355,96.36837,96.36837,98.9832565,1.0271342817150482,6.033941290868724,True
left-swapped,0,42.1510285,33.7304925,33.7304925,39.3410035,1.166333503728118,1.0007347168965834,False
left-swapped,1,42.1456535,33.308754,33.308754,39.4045475,1.183008751993545,0.9643261478894029,False
match-100pct,0,112.5372265,116.2684665,112.5372265,114.016403,1.0131438862143984,6.881082132541929,True
match-100pct,1,112.19383,115.837321,112.19383,114.0332045,1.0163946136788449,6.794619741656037,True
match-1pct,0,32.015357,31.9192725,31.9192725,36.719679,1.150392102451583,4.317502952572108,False
match-1pct,1,30.895495,31.6867485,30.895495,35.760687,1.1574725376628534,4.4113680757866875,False
mixed,0,38.9564245,39.787721,38.9564245,40.255459,1.0333458349084375,7.892742522200529,True
mixed,1,38.2151095,38.524656,38.2151095,39.5646085,1.0353132312757078,7.971410699034214,True
parquet,0,43.2954935,43.1666905,43.1666905,48.2879825,1.118639903608084,6.624654063772493,False
parquet,1,42.085729,42.1675535,42.085729,45.659915,1.0849263178974515,6.98668143600355,True
parquet-scalar-right,0,9.144465,9.6203095,9.144465,9.1630915,1.0020369152268613,28.08153236274024,True
parquet-scalar-right,1,8.4589535,7.92469,7.92469,8.1254765,1.0253368270556955,30.468721249763014,True
post-null-accepting,0,92.1324375,93.484835,92.1324375,99.99635,1.0853544388207466,6.365330384559036,True
post-null-accepting,1,91.456154,93.7593685,91.456154,99.4385675,1.087281316246909,6.383750736352875,True
post-reject-all,0,29.8840855,30.088752,29.8840855,32.839974,1.098911793703709,7.024499105876272,True
post-reject-all,1,29.193621,29.8119445,29.193621,31.6369955,1.083695492929774,7.271653466587875,True
primary-w1,0,754.9294655,732.0219335,732.0219335,811.5940725,1.1087018508032178,2.7540699787454397,False
primary-w1,1,749.54105,732.8175835,732.8175835,812.8490235,1.1092105891042665,2.748763894529056,False
primary-w2,0,501.0955875,496.497573,496.497573,536.939002,1.081453427366502,4.307550874279757,True
primary-w2,1,499.860058,495.844557,495.844557,534.6854165,1.0783327334175012,4.340175296327724,True
primary-w4,0,313.995459,319.807557,313.995459,331.8817775,1.0569636215662597,7.007689494190442,True
primary-w4,1,312.122682,321.5269595,312.122682,332.12682,1.064090625749525,7.001441738429917,True
right,0,111.511536,111.938636,111.511536,104.210928,0.9345304686682819,33.91937647364583,True
right,1,110.897936,118.359941,110.897936,104.1189515,0.9388718605186664,33.982956224832904,True
right-swapped,0,45.5400865,44.324084,44.324084,33.9353455,0.7656186532811371,0.7155627898351588,True
right-swapped,1,42.2774745,44.2226485,42.2774745,33.894795,0.801722321422014,0.7471223826549179,True
scalar-inner,0,29.019392,29.808173,29.019392,30.3774005,1.0467965869167761,6.88418253563204,True
scalar-inner,1,28.289087,29.7513815,28.289087,29.55323,1.0446865959300844,7.06205499365044,True
scalar-left,0,63.493116,75.9939805,63.493116,56.3159585,0.8869616432118405,6.470408765217057,True
scalar-left,1,60.3833645,72.361848,60.3833645,56.347037,0.9331549751587624,6.493004370398394,True
scalar-right,0,60.294065,60.8018315,60.294065,53.3618035,0.8850258064371676,50.52840906136166,True
scalar-right,1,55.6848835,59.3733815,55.6848835,52.757013,0.947420730439348,51.19403955830479,True
zero-matches,0,7.595439,7.6482075,7.595439,10.4428925,1.3748899174886402,5.262592188897855,False
zero-matches,1,8.6768295,7.360444,7.360444,11.525872,1.565920751519881,4.7128632870467415,False
