variant,repetition,samples,elapsed_median_ms,build_median_ms,init_median_ms,probe_median_ms,merge_median_ms,remaining_median_ms
prechange-active,0,10,705.377219,1.0864545,0.0892015,703.525761,0.204898,0.3021295
prechange-active,1,10,704.610671,0.8841915,0.0848085,702.874814,0.1857215,0.267981
prechange-noop,0,10,322.074698,0.9836495,0.0876045,320.600983,0.193712,0.2788355
prechange-noop,1,10,319.0579015,0.852504,0.0817825,317.699646,0.1731135,0.2662185
reference-active,0,10,712.828986,1.1965075,0.0869675,711.0909455,0.2036205,0.273386
reference-active,1,10,704.7427725,0.9051575,0.0825045,703.2764605,0.1816195,0.264521
reference-original,0,10,306.3243935,1.1859975,0.091787,304.68522,0.195881,0.279948
reference-original,1,10,306.9114275,0.9098515,0.087689,305.5696765,0.166261,0.271132
reference-matrix,0,10,313.995459,1.2004375,0.0803305,312.421271,0.208214,0.2879325
reference-matrix,1,10,312.122682,0.862296,0.074119,310.7766885,0.171841,0.2549215
final-candidate,0,10,304.161965,0.9884725,0.0721495,302.456458,0.2089305,0.2729335
final-candidate,1,10,304.091523,0.879709,0.074745,302.638843,0.193977,0.2649845
