case,repetition,arm,samples,median_ms,min_ms,max_ms,speedup,groups,sampled_query_peak_bytes_median,sampled_query_peak_bytes_max,sampled_batch_native_peak_delta_bytes_median,sampled_batch_native_peak_delta_bytes_max,sampled_native_peak_delta_bytes_median,sampled_native_peak_delta_bytes_max,retained_query_bytes_median,retained_query_bytes_max,retained_native_delta_bytes_median,retained_native_delta_bytes_max,build_ns_median,init_ns_median,probe_ns_median,merge_ns_median,build_rows_median,build_keys_median,build_bytes_median,scanned_rows_median,matched_pairs_median,null_extended_rows_median,surviving_rows_median,merge_cardinality_median,batch_median_ms,queries_per_second
compressed-groups,0,baseline,10,650.5953285,646.660632,654.363766,1.0,6000,1051660.0,1051660,1068300.0,1068300,,,1051660.0,1051660,,,,,,,,,,,,,,,650.897493,1.5363402236978658
compressed-groups,0,candidate,10,140.6575875,133.042727,150.439869,4.625383813724233,6000,6690816.0,6690816,6723584.0,6723584,,,1579008.0,1579008,,,410016.0,68582.5,137684526.5,499042.5,100.0,100.0,6144.0,10000000.0,10000000.0,0.0,10000000.0,6000.0,140.9859355,7.092906086366324
compressed-groups,1,baseline,10,649.854793,647.001981,653.24063,1.0,6000,1051660.0,1051660,1068300.0,1068300,,,1051660.0,1051660,,,,,,,,,,,,,,,650.126175,1.538162957367468
compressed-groups,1,candidate,10,143.443004,130.676185,159.988294,4.530404236375306,6000,6690816.0,6690816,6723584.0,6723584,,,1579008.0,1579008,,,289796.5,57192.0,140918030.0,441279.5,100.0,100.0,6144.0,10000000.0,10000000.0,0.0,10000000.0,6000.0,143.7572415,6.956171317463684
concurrent-2,0,baseline,20,236.044218,234.283261,243.104307,1.0,120,469004.0,469004,971312.0,1772512,,,469004.0,469004,,,,,,,,,,,,,,,236.32653,8.462867034014335
concurrent-2,0,candidate,20,64.4331815,37.043228,92.0777,3.663395357871627,120,969072.0,1049728,2067940.0,2637472,,,927920.0,927920,,,1117142.5,55147.5,62701665.0,183377.5,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,76.0360855,26.303300424375475
concurrent-2,1,baseline,20,235.0603495,233.716904,246.303196,1.0,120,469004.0,469004,971312.0,971312,,,469004.0,469004,,,,,,,,,,,,,,,235.3356685,8.498499240458315
concurrent-2,1,candidate,20,62.446859,35.162183,75.16874,3.7641660968088084,120,969072.0,969072,2003680.0,2164480,,,927920.0,927920,,,828318.0,48415.5,61195210.0,50709.0,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,72.098131,27.739970124884376
concurrent-4,0,baseline,40,239.807748,236.794356,243.747801,1.0,120,469004.0,562200,1942624.0,3198844,,,469004.0,469004,,,,,,,,,,,,,,,241.670073,16.551490841813912
concurrent-4,0,candidate,40,92.4840745,36.890153,150.847282,2.592962618661443,120,969072.0,1049728,3998832.0,4699280,,,927920.0,927920,,,1102581.0,61750.0,91049088.0,71498.5,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,133.687664,29.920486904461132
