suite,tests,failures,errors,skipped,seconds
io.questdb.test.QueryAssertionCircuitBreakerTest,5,0,0,0,0.096
io.questdb.test.cairo.FullBwdPartitionFrameCursorTest,1,0,0,0,0.053
io.questdb.test.cairo.FullFwdPartitionFrameCursorTest,165,0,0,0,31.254
io.questdb.test.cairo.IntervalBwdPartitionFrameCursorTest,56,0,0,9,2.887
io.questdb.test.cairo.IntervalFwdPartitionFrameCursorTest,68,0,0,15,3.283
io.questdb.test.cairo.PageFrameAddressCacheTest,3,0,0,0,0.374
io.questdb.test.cairo.SymbolMapTest,31,0,0,0,24.252
io.questdb.test.cairo.covering.CoveringIndexParallelDecodeTest,30,0,0,0,5.678
io.questdb.test.cairo.lv.LiveViewPageFrameCursorTest,22,0,0,0,0.024
io.questdb.test.cairo.lv.LiveViewSymbolCacheConcurrencyTest,12,0,0,0,1.544
io.questdb.test.cairo.lv.LiveViewSymbolTableSourceTest,7,0,0,0,0.012
io.questdb.test.cairo.map.MapCursorCancellationTest,1,0,0,0,0.019
io.questdb.test.cairo.map.OrderedMapTest,53,0,0,0,2.701
io.questdb.test.cairo.map.ShardedMapCursorTest,3,0,0,0,0.009
io.questdb.test.cairo.map.Unordered4MapTest,20,0,0,0,0.049
io.questdb.test.cairo.map.Unordered8MapTest,17,0,0,0,0.041
io.questdb.test.cairo.parquet.ParquetColumnTypeConversionTest,105,0,0,0,137.327
io.questdb.test.cairo.sql.NetworkSqlExecutionCircuitBreakerTest,13,0,0,0,0.015
io.questdb.test.cairo.sql.PageFrameMemoryRecordTest,1,0,0,0,0.0
io.questdb.test.cairo.sql.SqlExecutionCircuitBreakerWrapperTest,2,0,0,0,0.008
io.questdb.test.cairo.sql.async.PageFrameReduceDispatcherTest,53,0,0,0,0.68
io.questdb.test.cairo.sql.async.PageFrameReduceTaskTest,18,0,0,0,0.003
io.questdb.test.cairo.sql.async.QueryParallelFiberDispatcherTest,40,0,0,0,1.836
io.questdb.test.griffin.AsyncHashJoinGroupByTest,45,0,0,0,8.806
io.questdb.test.griffin.GroupByRewriteTest,33,0,0,0,1.284
io.questdb.test.griffin.GroupByTest,119,0,0,0,6.211
io.questdb.test.griffin.HashJoinGroupByCandidateTest,12,0,0,0,1.005
io.questdb.test.griffin.HashJoinGroupByConcurrentTest,3,0,0,0,1.055
io.questdb.test.griffin.HashJoinGroupByFunctionsTest,14,0,0,0,1.217
io.questdb.test.griffin.HashJoinGroupByPlannerTest,12,0,0,0,1.587
io.questdb.test.griffin.HashJoinGroupByQualificationTest,10,0,0,0,3.982
io.questdb.test.griffin.HashJoinGroupBySemanticTest,8,0,0,0,6.825
io.questdb.test.griffin.HorizonJoinTest,172,0,0,0,21.172
io.questdb.test.griffin.IntervalFilterTest,28,0,0,0,1.02
io.questdb.test.griffin.IntervalSearchOpenPartitionTrackingTest,8,0,0,0,0.309
io.questdb.test.griffin.PageFrameCursorTest,6,0,0,0,0.258
io.questdb.test.griffin.ParallelFilterTest,49,0,0,1,10.751
io.questdb.test.griffin.ParallelGroupByMemoryTrackerTest,9,0,0,0,2.099
io.questdb.test.griffin.ParallelHorizonJoinMemoryTrackerTest,14,0,0,0,4.622
io.questdb.test.griffin.ParallelParquetMemoryTrackerTest,5,0,0,0,1.694
io.questdb.test.griffin.ParquetMemoryTrackerTest,6,0,0,0,0.627
io.questdb.test.griffin.ParquetRowGroupPruningTest,186,0,0,0,11.151
io.questdb.test.griffin.QueryRegistryMemoryTrackerTest,9,0,0,0,0.154
io.questdb.test.griffin.SqlCodeGeneratorWorkerFunctionExtractionTest,11,0,0,0,0.115
io.questdb.test.griffin.SqlOptimiserTest,175,0,0,0,9.273
io.questdb.test.griffin.SymbolPatternIndexTest,117,0,0,0,8.778
io.questdb.test.griffin.TimeFrameCursorTest,42,0,0,0,3.343
io.questdb.test.griffin.engine.QueryProgressValidationTest,4,0,0,0,0.042
io.questdb.test.griffin.engine.SqlCodeGeneratorTest,332,0,0,1,23.746
io.questdb.test.griffin.engine.functions.groupby.AvgDoubleGroupByFunctionFactoryTest,9,0,0,0,0.181
io.questdb.test.griffin.engine.functions.groupby.CountSymbolGroupByFunctionFactoryTest,9,0,0,0,0.394
io.questdb.test.griffin.engine.groupby.CountColumnTest,14,0,0,0,2.526
io.questdb.test.griffin.engine.groupby.CountTest,11,0,0,0,0.58
io.questdb.test.griffin.engine.groupby.GroupByFunctionsUpdaterFactoryTest,2,0,0,0,0.001
io.questdb.test.griffin.engine.groupby.GroupByUtilsTest,17,0,0,0,0.003
io.questdb.test.griffin.engine.groupby.PostAggregationCircuitBreakerTest,11,0,0,0,0.013
io.questdb.test.griffin.engine.groupby.SortedRunsMergeTest,16,0,0,0,0.019
io.questdb.test.griffin.engine.join.HashJoinTest,11,0,0,0,1.971
io.questdb.test.griffin.engine.join.IntHashJoinBuildTest,24,0,0,0,0.33
io.questdb.test.griffin.engine.join.JoinRecordMetadataTest,10,0,0,0,0.091
io.questdb.test.griffin.engine.table.AsyncFilterAtomTest,2,0,0,0,0.008
io.questdb.test.griffin.engine.table.AsyncFilterContextTest,8,0,0,0,0.314
io.questdb.test.griffin.engine.table.AsyncFilterFactoryConstructorTest,7,0,0,0,0.236
io.questdb.test.griffin.engine.table.AsyncFilteredRecordCursorFactoryCleanupTest,4,0,0,0,0.009
io.questdb.test.griffin.engine.table.AsyncFilteredRecordCursorFactoryTest,37,0,0,0,11.779
io.questdb.test.griffin.engine.table.GroupByMapFragmentTest,4,0,0,0,0.012
io.questdb.test.griffin.engine.table.PageFrameCursorReleasePartitionTest,11,0,0,0,0.859
io.questdb.test.griffin.engine.table.PageFrameRecordCursorImplFactoryTest,48,0,0,0,9.812
io.questdb.test.griffin.engine.table.PageFrameScanCancellationTest,3,0,0,0,0.141
io.questdb.test.griffin.engine.table.parquet.ReadParquetCancellationTest,2,0,0,0,0.091
io.questdb.test.std.DirectIntListTest,11,0,0,0,0.005
