variant,case,repetition,samples,median_ms,min_ms,max_ms
chunks-pilot,match-1pct,0,10,34.2701165,33.257142,36.64184
chunks-pilot,match-1pct,1,10,33.8174145,32.827518,35.491299
chunks-pilot,primary-w4,0,10,321.893361,316.696582,326.188435
chunks-pilot,primary-w4,1,10,317.5411845,310.929806,319.890173
chunks-pilot,zero-matches,0,10,8.8048025,7.49844,9.876277
chunks-pilot,zero-matches,1,10,8.684643,7.228175,10.118259
collision-budget-pilot,match-1pct,0,10,33.92208,32.978777,34.179491
collision-budget-pilot,match-1pct,1,10,33.6199145,32.600148,34.754094
collision-budget-pilot,primary-w4,0,10,312.0333005,310.426989,313.626337
collision-budget-pilot,primary-w4,1,10,325.035256,308.32159,337.128997
collision-budget-pilot,zero-matches,0,10,7.8319605,7.229063,9.288944
collision-budget-pilot,zero-matches,1,10,7.5098335,6.631386,8.877564
countdown-pilot,inner,0,10,36.875094,35.156418,39.418423
countdown-pilot,inner,1,10,35.927879,34.882536,38.754261
countdown-pilot,left-swapped,0,10,34.439318,32.984018,36.601809
countdown-pilot,left-swapped,1,10,33.5754635,32.213037,34.959941
countdown-pilot,match-1pct,0,10,36.2821115,35.339129,38.021402
countdown-pilot,match-1pct,1,10,35.3693305,34.720994,35.749968
countdown-pilot,parquet,0,10,44.3355315,43.131131,47.475579
countdown-pilot,parquet,1,10,44.8260185,43.573989,46.890016
countdown-pilot,primary-w1,0,10,785.4055825,779.995742,799.984576
countdown-pilot,primary-w1,1,10,777.0203135,774.765306,790.203253
countdown-pilot,primary-w4,0,10,331.164231,328.465501,334.588964
countdown-pilot,primary-w4,1,10,332.7069265,328.959951,335.56132
countdown-pilot,zero-matches,0,10,9.903818,9.101779,10.952677
countdown-pilot,zero-matches,1,10,9.271887,8.901515,10.977474
local-breaker-pilot,match-1pct,0,10,35.609796,34.783506,36.475729
local-breaker-pilot,match-1pct,1,10,34.975445,33.891569,36.567861
local-breaker-pilot,primary-w4,0,10,338.227163,329.829451,346.273911
local-breaker-pilot,primary-w4,1,10,329.589521,328.651952,337.010382
local-breaker-pilot,zero-matches,0,10,9.071469,8.350897,11.022109
local-breaker-pilot,zero-matches,1,10,9.1487835,8.270928,10.846191
local-budget-pilot,match-1pct,0,10,34.9294125,33.904637,38.845802
local-budget-pilot,match-1pct,1,10,34.914535,33.625536,36.404229
local-budget-pilot,primary-w4,0,10,333.7888665,327.125263,342.731731
local-budget-pilot,primary-w4,1,10,332.6417685,327.02192,337.193411
local-budget-pilot,zero-matches,0,10,8.3762095,7.194737,10.184084
local-budget-pilot,zero-matches,1,10,9.8401815,7.044938,29.741226
local-stats-pilot,match-1pct,0,10,35.580959,34.798556,37.159991
local-stats-pilot,match-1pct,1,10,35.206553,34.539932,38.072537
local-stats-pilot,zero-matches,0,10,8.7233935,7.829347,10.25971
local-stats-pilot,zero-matches,1,10,9.402438,7.577296,10.476386
