case,repetition,arm,samples,median_ms,min_ms,max_ms,speedup,groups,sampled_query_peak_bytes_median,sampled_query_peak_bytes_max,sampled_batch_native_peak_delta_bytes_median,sampled_batch_native_peak_delta_bytes_max,sampled_native_peak_delta_bytes_median,sampled_native_peak_delta_bytes_max,retained_query_bytes_median,retained_query_bytes_max,retained_native_delta_bytes_median,retained_native_delta_bytes_max,build_ns_median,init_ns_median,probe_ns_median,merge_ns_median,build_rows_median,build_keys_median,build_bytes_median,scanned_rows_median,matched_pairs_median,null_extended_rows_median,surviving_rows_median,merge_cardinality_median,batch_median_ms,queries_per_second
compressed-groups,0,baseline,10,662.3587065,660.516645,672.132342,1.0,6000,1077260.0,1077260,1077516.0,1077516,,,1077260.0,1077260,,,,,,,,,,,,,,,662.605823,1.509192894611794
compressed-groups,0,candidate,10,120.398499,119.207684,124.046664,5.50138674486299,6000,6742016.0,6742016,6742016.0,6742016,,,1630208.0,1630208,,,450572.0,65647.5,117664486.5,449234.0,100.0,100.0,6144.0,10000000.0,10000000.0,0.0,10000000.0,6000.0,120.7143385,8.284020046218453
compressed-groups,1,baseline,10,663.297005,661.472927,675.827071,1.0,6000,1077260.0,1077260,1077516.0,1077516,,,1077260.0,1077260,,,,,,,,,,,,,,,663.5384165,1.5070717461616632
compressed-groups,1,candidate,10,119.156571,117.720389,124.229726,5.566600309436565,6000,6742016.0,6742016,6742016.0,6742016,,,1630208.0,1630208,,,298943.5,54847.5,116587778.0,411699.0,100.0,100.0,6144.0,10000000.0,10000000.0,0.0,10000000.0,6000.0,119.457122,8.371204523075653
concurrent-2,0,baseline,20,239.4169075,238.35819,243.822836,1.0,120,494604.0,877412,989744.0,1755360,,,494604.0,494604,,,,,,,,,,,,,,,240.1522955,8.328048648612647
concurrent-2,0,candidate,20,53.0693385,32.521025,64.919733,4.5113979986767685,120,1020272.0,1020272,2040544.0,2089312,,,979120.0,979120,,,1087401.0,55173.0,51663026.0,172122.0,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,58.8588125,33.979618600018476
concurrent-2,1,baseline,20,237.336022,235.694847,244.426386,1.0,120,494604.0,494604,989744.0,989744,,,494604.0,494604,,,,,,,,,,,,,,,237.615809,8.416948385786908
concurrent-2,1,candidate,20,53.461822,32.29823,66.331531,4.439355284225068,120,1020272.0,1153840,2039496.0,2130464,,,979120.0,979120,,,886560.5,52257.5,52234664.5,50835.0,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,63.070335,31.710629093693573
concurrent-4,0,baseline,40,240.6316555,237.811122,248.356809,1.0,120,494604.0,792932,1979488.0,2650296,,,494604.0,494604,,,,,,,,,,,,,,,241.831988,16.540409038030155
concurrent-4,0,candidate,40,81.399618,33.351238,129.987636,2.9561767169472466,120,1020272.0,1443208,4048888.0,4778344,,,979120.0,979120,,,1001005.0,46782.5,80023046.5,61585.0,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,112.9642485,35.409433100420266
concurrent-4,1,baseline,40,240.556803,239.319802,244.565942,1.0,120,494604.0,850620,1979488.0,2301712,,,494604.0,494604,,,,,,,,,,,,,,,242.7315045,16.479113447756017
concurrent-4,1,candidate,40,83.5088135,34.710897,138.504827,2.8806157448279395,120,1020272.0,1194448,3978208.0,4079040,,,979120.0,979120,,,935031.5,37825.5,82403940.0,40059.5,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,119.783016,33.393715850333905
concurrent-scalar-left,0,baseline,40,384.2885035,378.534862,397.938524,1.0,1,287752.0,703592,1248852.0,2219896,,,287752.0,287752,,,,,,,,,,,,,,,390.270583,10.249299266299044
concurrent-scalar-left,0,candidate,40,190.9076645,63.296674,282.703805,2.012954820365528,1,838592.0,1338208,3354368.0,3356568,,,838592.0,838592,,,894009.5,49191.5,189958661.0,15334.0,10000.0,10000.0,786432.0,10000000.0,999862.0,9000138.0,10000000.0,1.0,260.903058,15.331364954718161
concurrent-scalar-left,1,baseline,40,385.8383225,377.3004,401.721576,1.0,1,287752.0,287752,1152032.0,1152032,,,287752.0,287752,,,,,,,,,,,,,,,393.441916,10.166684934505046
concurrent-scalar-left,1,candidate,40,182.5608905,62.575959,292.854842,2.1134774345330003,1,838592.0,838592,3354368.0,3354368,,,838592.0,838592,,,798863.0,35286.5,181757059.5,9242.0,10000.0,10000.0,786432.0,10000000.0,999862.0,9000138.0,10000000.0,1.0,259.8839965,15.391482560950998
fanout-10,0,baseline,10,637.7908525,633.528843,646.702531,1.0,120,2499084.0,2499084,2499352.0,2499352,,,2499084.0,2499084,,,,,,,,,,,,,,,638.042643,1.567293363493888
fanout-10,0,candidate,10,106.137226,105.564988,110.329035,6.009115524651078,120,4979168.0,7240920,4979168.0,7240920,,,4911280.0,4911280,,,3316578.5,63012.5,102182496.0,183387.5,100000.0,10000.0,4718720.0,10000000.0,9998620.0,0.0,9998620.0,120.0,106.386306,9.399706011034917
fanout-10,1,baseline,10,639.537494,635.980653,652.350988,1.0,120,2499084.0,2500108,2499352.0,2500376,,,2499084.0,2499084,,,,,,,,,,,,,,,639.8006255,1.562986905832589
fanout-10,1,candidate,10,105.8480045,104.706196,107.932401,6.042036380572484,120,4952432.0,5110672,4952432.0,5110672,,,4911280.0,4911280,,,2944334.0,56120.0,102134728.5,152800.0,100000.0,10000.0,4718720.0,10000000.0,9998620.0,0.0,9998620.0,120.0,106.085257,9.4263805195853
high-cardinality,0,baseline,10,447.2153325,430.165318,480.181064,1.0,486759,59073548.0,59073548,59073804.0,59073804,,,59073548.0,59073548,,,,,,,,,,,,,,,449.7495775,2.223459565117657
high-cardinality,0,candidate,10,213.436929,204.582126,239.501076,2.0953043814643717,486759,95410176.0,95545344,95410176.0,95545344,,,59557888.0,59557888,,,997563.0,69049.0,53106459.0,7207042.0,10000.0,10000.0,786432.0,10000000.0,999862.0,0.0,999862.0,486759.0,213.9324495,4.674372692582104
high-cardinality,1,baseline,10,434.962678,427.539607,459.051746,1.0,486759,59073548.0,59073548,59073804.0,59073804,,,59073548.0,59073548,,,,,,,,,,,,,,,437.5770665,2.2853117234835705
