case,repetition,reference_ms,historical_reference_ms,limit_reference_ms,candidate_ms,ratio,speedup,passed
compressed-groups,0,140.6575875,134.6623385,134.6623385,120.398499,0.8940769954028386,5.50138674486299,True
compressed-groups,1,143.443004,129.4597615,129.4597615,119.156571,0.9204139542617649,5.566600309436565,True
concurrent-2,0,64.4331815,58.486459,58.486459,53.0693385,0.9073782103990942,4.5113979986767685,True
concurrent-2,1,62.446859,59.2953155,59.2953155,53.461822,0.9016196566152008,4.439355284225068,True
concurrent-4,0,92.4840745,90.2062085,90.2062085,81.399618,0.9023726787053687,2.9561767169472466,True
concurrent-4,1,90.5376775,97.5939385,90.5376775,83.5088135,0.9223653158100946,2.8806157448279395,True
concurrent-scalar-left,0,212.276191,208.252867,208.252867,190.9076645,0.9167108585352632,2.012954820365528,True
concurrent-scalar-left,1,210.252335,207.4662775,207.4662775,182.5608905,0.8799545289956823,2.1134774345330003,True
fanout-10,0,109.8944615,108.944179,108.944179,106.137226,0.9742349428325123,6.009115524651078,True
fanout-10,1,108.9435355,109.961606,108.9435355,105.8480045,0.9715859138792132,6.042036380572484,True
high-cardinality,0,239.094879,234.2234585,234.2234585,213.436929,0.9112534259671518,2.0953043814643717,True
high-cardinality,1,212.275775,221.314536,212.275775,208.1273595,0.980457423839343,2.0898870722472216,True
hot-chain,0,721.6826865,636.0957235,636.0957235,646.200435,1.0158855202553487,5.61837127516016,True
hot-chain,1,732.1865275,640.352122,640.352122,641.5921885,1.0019365384409549,5.663409463408702,True
inner,0,34.7730075,37.803323,34.7730075,33.3270125,0.958416165182146,7.337487871137564,True
inner,1,34.214244,35.9585605,34.214244,31.7628295,0.9283510546075487,7.494038857589812,True
inner-swapped,0,34.191093,38.5167315,34.191093,21.6697785,0.633784316283776,1.9139971366112487,True
inner-swapped,1,33.8846,37.7665545,33.8846,21.614065,0.6378728094768715,1.8185704308745254,True
left,0,201.7511545,97.275004,97.275004,92.5628845,0.9515587837960922,6.475392072510446,True
left,1,200.6773355,96.36837,96.36837,91.477242,0.9492455045156415,6.534840097168649,True
left-swapped,0,42.1510285,33.7304925,33.7304925,22.291104,0.660859132133929,1.8098637465421183,True
left-swapped,1,42.1456535,33.308754,33.308754,21.9513495,0.6590264379147895,1.7264767936021428,True
match-100pct,0,112.5372265,116.2684665,112.5372265,114.459864,1.017084457826051,6.798522349283938,True
match-100pct,1,112.19383,115.837321,112.19383,114.1741225,1.017650636403089,6.80345337447196,True
match-1pct,0,32.015357,31.9192725,31.9192725,27.7360635,0.8689440995248247,5.7895536257335145,True
match-1pct,1,30.895495,31.6867485,30.895495,26.4174265,0.8550575577442602,5.988940595708669,True
mixed,0,38.9564245,39.787721,38.9564245,36.0571585,0.9255766914645877,8.639192173171383,True
mixed,1,38.2151095,38.524656,38.2151095,36.3129065,0.9502237982596909,8.53920072467898,True
parquet,0,43.2954935,43.1666905,43.1666905,41.9053885,0.9707806647813317,7.8979362164844265,True
parquet,1,42.085729,42.1675535,42.085729,42.199684,1.002707687444359,7.856972815246674,True
parquet-scalar-right,0,9.144465,9.6203095,9.144465,8.2384195,0.9009186978133766,30.442940299410584,True
parquet-scalar-right,1,8.4589535,7.92469,7.92469,7.0624975,0.8912017378597775,35.36163793332316,True
post-null-accepting,0,92.1324375,93.484835,92.1324375,88.5680485,0.9613123336718407,7.212180705325126,True
post-null-accepting,1,91.456154,93.7593685,91.456154,87.909616,0.9612214395107846,7.26885433102108,True
post-reject-all,0,29.8840855,30.088752,29.8840855,25.9686615,0.8689796279695424,9.427741048571178,True
post-reject-all,1,29.193621,29.8119445,29.193621,25.285807,0.866141510845811,9.608560584995368,True
primary-w1,0,754.9294655,732.0219335,732.0219335,677.140384,0.9250274520633609,3.3259609376657706,True
primary-w1,1,749.54105,732.8175835,732.8175835,675.3358365,0.9215606335133742,3.3359006848735473,True
primary-w2,0,501.0955875,496.497573,496.497573,452.202961,0.9107858438615167,5.215389412277643,True
primary-w2,1,499.860058,495.844557,495.844557,451.9406635,0.9114563367083608,5.220771227415787,True
primary-w4,0,313.995459,319.807557,313.995459,283.419794,0.902623862468024,8.244297319614875,True
primary-w4,1,312.122682,321.5269595,312.122682,279.1225615,0.894271956499464,8.360256797084459,True
right,0,111.511536,111.938636,111.511536,114.655171,1.0281911191681548,26.46057425530332,True
right,1,110.897936,118.359941,110.897936,114.358606,1.0312059008925107,26.435713355932304,True
right-swapped,0,45.5400865,44.324084,44.324084,21.5523255,0.4862441263309581,1.118845574228173,True
right-swapped,1,42.2774745,44.2226485,42.2774745,21.697993,0.5132282203848293,1.1302381515193594,True
scalar-inner,0,29.019392,29.808173,29.019392,25.487405,0.8782887318934869,8.201461113832499,True
scalar-inner,1,28.289087,29.7513815,28.289087,24.0750995,0.8510384057286826,8.687350721021943,True
scalar-left,0,63.493116,75.9939805,63.493116,50.8422,0.8007513759444409,7.188388464700584,True
scalar-left,1,60.3833645,72.361848,60.3833645,50.01659,0.8283173753923566,7.293615918238329,True
scalar-right,0,60.294065,60.8018315,60.294065,46.980067,0.7791822793835512,62.93857122425985,True
scalar-right,1,55.6848835,59.3733815,55.6848835,47.879478,0.8598290054786593,61.19411577544768,True
zero-matches,0,7.595439,7.6482075,7.595439,5.21293,0.6863237266470049,11.003338141889493,True
zero-matches,1,8.6768295,7.360444,7.360444,5.043288,0.6851880131144263,11.285252795398558,True
