case,repetition,variant,samples,elapsed_median_ms,build_median_ms,init_median_ms,probe_median_ms,merge_median_ms,remaining_median_ms
compressed-groups,0,lower-reference,10,134.6623385,0.382385,0.0618855,132.152584,0.4522145,1.638096
compressed-groups,0,shared-throttle,10,150.4510645,0.4080425,0.0595515,148.3173605,0.460341,1.2298045
compressed-groups,0,boundary-candidate,10,120.398499,0.450572,0.0656475,117.6644865,0.449234,1.720129
compressed-groups,1,lower-reference,10,129.4597615,0.271402,0.054141,127.026174,0.432548,1.65307
compressed-groups,1,shared-throttle,10,119.8282675,0.307871,0.053545,117.477377,0.426949,1.209596
compressed-groups,1,boundary-candidate,10,119.156571,0.2989435,0.0548475,116.587778,0.411699,1.775476
concurrent-4,0,lower-reference,40,90.2062085,1.050398,0.052904,88.6957665,0.0619155,0.2020125
concurrent-4,0,shared-throttle,40,103.1886545,1.116828,0.047123,101.800204,0.0707425,0.255703
concurrent-4,0,boundary-candidate,40,81.399618,1.001005,0.0467825,80.0230465,0.061585,0.20852
concurrent-4,1,lower-reference,40,90.5376775,0.9346415,0.0370445,89.464091,0.0361325,0.107642
concurrent-4,1,shared-throttle,40,94.9620985,0.9064605,0.029049,93.9532225,0.039143,0.089312
concurrent-4,1,boundary-candidate,40,83.5088135,0.9350315,0.0378255,82.40394,0.0400595,0.0930835
high-cardinality,0,lower-reference,10,234.2234585,1.1397195,0.07238,58.198385,8.1318915,161.906709
high-cardinality,0,shared-throttle,10,237.8221595,1.1522345,0.0844185,57.8595575,8.1380605,170.8731475
high-cardinality,0,boundary-candidate,10,213.436929,0.997563,0.069049,53.106459,7.207042,150.082477
high-cardinality,1,lower-reference,10,212.275775,0.7685065,0.066094,58.3379095,8.052123,145.455859
high-cardinality,1,shared-throttle,10,234.937749,0.7432245,0.068428,55.788645,7.911818,170.284335
high-cardinality,1,boundary-candidate,10,208.1273595,0.710121,0.0638995,52.456256,7.0561895,146.816081
primary-w4,0,lower-reference,10,313.995459,1.2004375,0.0803305,312.421271,0.208214,0.2879325
primary-w4,0,shared-throttle,10,327.0876145,1.0216745,0.087273,325.2464895,0.204908,0.3054315
primary-w4,0,boundary-candidate,10,283.419794,1.0018575,0.086071,281.6168135,0.187235,0.29156
primary-w4,1,lower-reference,10,312.122682,0.862296,0.074119,310.7766885,0.171841,0.2549215
primary-w4,1,shared-throttle,10,325.9625865,0.893491,0.082384,324.5317175,0.175093,0.280604
primary-w4,1,boundary-candidate,10,279.1225615,0.821426,0.0778105,277.7927755,0.1587415,0.265662
