suite,tests,failures,errors,skipped,seconds
io.questdb.test.QueryAssertionCircuitBreakerTest,5,0,0,0,0.084
io.questdb.test.cairo.FullBwdPartitionFrameCursorTest,1,0,0,0,0.049
io.questdb.test.cairo.FullFwdPartitionFrameCursorTest,165,0,0,0,31.366
io.questdb.test.cairo.IntervalBwdPartitionFrameCursorTest,56,0,0,9,2.821
io.questdb.test.cairo.IntervalFwdPartitionFrameCursorTest,68,0,0,15,3.247
io.questdb.test.cairo.PageFrameAddressCacheTest,3,0,0,0,0.383
io.questdb.test.cairo.SymbolMapTest,31,0,0,0,33.253
io.questdb.test.cairo.covering.CoveringIndexParallelDecodeTest,30,0,0,0,5.476
io.questdb.test.cairo.lv.LiveViewPageFrameCursorTest,22,0,0,0,0.025
io.questdb.test.cairo.lv.LiveViewSymbolCacheConcurrencyTest,12,0,0,0,1.516
io.questdb.test.cairo.lv.LiveViewSymbolTableSourceTest,7,0,0,0,0.012
io.questdb.test.cairo.map.MapCursorCancellationTest,1,0,0,0,0.019
io.questdb.test.cairo.map.OrderedMapTest,53,0,0,0,2.758
io.questdb.test.cairo.map.ShardedMapCursorTest,3,0,0,0,0.011
io.questdb.test.cairo.map.Unordered4MapTest,20,0,0,0,0.046
io.questdb.test.cairo.map.Unordered8MapTest,17,0,0,0,0.042
io.questdb.test.cairo.parquet.ParquetColumnTypeConversionTest,105,0,0,0,137.224
io.questdb.test.cairo.sql.NetworkSqlExecutionCircuitBreakerTest,12,0,0,0,0.016
io.questdb.test.cairo.sql.PageFrameMemoryRecordTest,1,0,0,0,0.001
io.questdb.test.cairo.sql.SqlExecutionCircuitBreakerWrapperTest,2,0,0,0,0.009
io.questdb.test.cairo.sql.async.PageFrameReduceDispatcherTest,53,0,0,0,0.674
io.questdb.test.cairo.sql.async.PageFrameReduceTaskTest,18,0,0,0,0.003
io.questdb.test.cairo.sql.async.QueryParallelFiberDispatcherTest,40,0,0,0,1.857
io.questdb.test.griffin.AsyncHashJoinGroupByTest,43,0,0,0,5.545
io.questdb.test.griffin.GroupByRewriteTest,33,0,0,0,1.291
io.questdb.test.griffin.GroupByTest,119,0,0,0,6.103
io.questdb.test.griffin.HashJoinGroupByCandidateTest,12,0,0,0,1.008
