case,storage,mode,rows,owners,join,conversion
native-owner-8192-1-inner-plain,native,owner,8192,1,inner,plain
native-owner-65536-2-inner-plain,native,owner,65536,2,inner,plain
native-sharded-8192-1-left-plain,native,sharded,8192,1,left,plain
native-sharded-65536-2-left-plain,native,sharded,65536,2,left,plain
native-scalar-8192-1-right-plain,native,scalar,8192,1,right,plain
native-scalar-65536-2-right-plain,native,scalar,65536,2,right,plain
mixed-owner-8192-1-inner-plain,mixed,owner,8192,1,inner,plain
mixed-owner-65536-2-inner-plain,mixed,owner,65536,2,inner,plain
mixed-sharded-8192-1-left-plain,mixed,sharded,8192,1,left,plain
mixed-sharded-65536-2-left-plain,mixed,sharded,65536,2,left,plain
mixed-scalar-8192-1-right-plain,mixed,scalar,8192,1,right,plain
mixed-scalar-65536-2-right-plain,mixed,scalar,65536,2,right,plain
parquet-owner-8192-1-inner-plain,parquet,owner,8192,1,inner,plain
parquet-owner-65536-2-inner-plain,parquet,owner,65536,2,inner,plain
parquet-sharded-8192-1-left-plain,parquet,sharded,8192,1,left,plain
parquet-sharded-65536-2-left-plain,parquet,sharded,65536,2,left,plain
parquet-scalar-8192-1-right-plain,parquet,scalar,8192,1,right,plain
parquet-scalar-65536-2-right-plain,parquet,scalar,65536,2,right,plain
mixed-owner-8192-2-right-converted,mixed,owner,8192,2,right,converted
mixed-sharded-8192-2-right-converted,mixed,sharded,8192,2,right,converted
mixed-scalar-8192-2-right-converted,mixed,scalar,8192,2,right,converted
parquet-owner-8192-2-right-converted,parquet,owner,8192,2,right,converted
parquet-sharded-8192-2-right-converted,parquet,sharded,8192,2,right,converted
parquet-scalar-8192-2-right-converted,parquet,scalar,8192,2,right,converted
