case,repetition,arm,samples,median_ms,min_ms,max_ms,speedup,groups,sampled_query_peak_bytes_median,sampled_query_peak_bytes_max,sampled_batch_native_peak_delta_bytes_median,sampled_batch_native_peak_delta_bytes_max,sampled_native_peak_delta_bytes_median,sampled_native_peak_delta_bytes_max,retained_query_bytes_median,retained_query_bytes_max,retained_native_delta_bytes_median,retained_native_delta_bytes_max,build_ns_median,init_ns_median,probe_ns_median,merge_ns_median,build_rows_median,build_keys_median,build_bytes_median,scanned_rows_median,matched_pairs_median,null_extended_rows_median,surviving_rows_median,merge_cardinality_median,batch_median_ms,queries_per_second
compressed-groups,0,baseline,10,678.6626275,671.232684,689.357953,1.0,6000,1077260.0,1077260,1077516.0,1077516,,,1077260.0,1077260,,,,,,,,,,,,,,,678.918566,1.4729307019717002
compressed-groups,0,candidate,10,150.4510645,147.847061,169.961379,4.510852945809499,6000,6742016.0,6742016,6742016.0,6742016,,,1630208.0,1630208,,,408042.5,59551.5,148317360.5,460341.0,100.0,100.0,6144.0,10000000.0,10000000.0,0.0,10000000.0,6000.0,150.7755215,6.632376330397902
compressed-groups,1,baseline,10,676.4476585,674.989148,677.996773,1.0,6000,1077260.0,1077260,1077516.0,1077516,,,1077260.0,1077260,,,,,,,,,,,,,,,676.689515,1.4777826134929843
compressed-groups,1,candidate,10,119.8282675,118.57002,148.933261,5.645142607940985,6000,6742016.0,6742016,6742016.0,6742016,,,1630208.0,1630208,,,307871.0,53545.0,117477377.0,426949.0,100.0,100.0,6144.0,10000000.0,10000000.0,0.0,10000000.0,6000.0,120.100732,8.326343922699822
concurrent-2,0,baseline,20,240.5474645,238.080297,249.666799,1.0,120,494604.0,864020,989744.0,1643664,,,494604.0,494604,,,,,,,,,,,,,,,240.812184,8.305227612569636
concurrent-2,0,candidate,20,60.519488,35.8511,72.272978,3.9747108319885323,120,1020272.0,1443208,2040544.0,2501368,,,979120.0,979120,,,970760.0,52132.5,59190232.5,183468.0,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,71.181522,28.097179489924365
concurrent-2,1,baseline,20,239.056786,237.500131,242.858919,1.0,120,494604.0,494604,989744.0,989744,,,494604.0,494604,,,,,,,,,,,,,,,239.3471545,8.35606340997883
concurrent-2,1,candidate,20,58.850216,35.944064,73.547931,4.062122490765369,120,1020272.0,1020272,2040544.0,2130464,,,979120.0,979120,,,830643.0,47484.0,57530494.0,47889.0,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,71.0609165,28.14486638375963
concurrent-4,0,baseline,40,240.14269,239.260751,257.593558,1.0,120,494604.0,877412,1979488.0,3079680,,,494604.0,494604,,,,,,,,,,,,,,,242.842868,16.47155641400183
concurrent-4,0,candidate,40,103.1886545,39.088674,147.627977,2.327219897997604,120,1020272.0,1443208,3975136.0,4785312,,,979120.0,979120,,,1116828.0,47123.0,101800204.0,70742.5,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,138.053956,28.97417876239635
concurrent-4,1,baseline,40,240.7641005,238.642224,245.131856,1.0,120,494604.0,742812,1979488.0,2302304,,,494604.0,494604,,,,,,,,,,,,,,,241.0290605,16.595509237360197
concurrent-4,1,candidate,40,94.9620985,42.01762,146.558116,2.5353704720415378,120,1020272.0,1167232,4029648.0,4331248,,,979120.0,979120,,,906460.5,29049.0,93953222.5,39143.0,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,122.6296875,32.61852885338226
concurrent-scalar-left,0,baseline,40,340.190021,335.470767,359.340708,1.0,1,287752.0,669704,1152032.0,1793632,,,287752.0,287752,,,,,,,,,,,,,,,347.326409,11.516544369650855
concurrent-scalar-left,0,candidate,40,181.583305,71.337768,280.961094,1.8734653001276742,1,838592.0,1310984,3381308.0,4018568,,,838592.0,838592,,,930334.0,55133.5,180405538.5,13445.0,10000.0,10000.0,786432.0,10000000.0,999862.0,9000138.0,10000000.0,1.0,259.2736005,15.427718025615183
concurrent-scalar-left,1,baseline,40,340.1934955,335.332276,358.704275,1.0,1,287752.0,287752,1152032.0,1152032,,,287752.0,287752,,,,,,,,,,,,,,,348.7131345,11.470746594433196
concurrent-scalar-left,1,candidate,40,176.125549,71.606831,281.661071,1.93153973078602,1,838592.0,838592,3354368.0,3354368,,,838592.0,838592,,,774047.0,39999.5,175229754.5,10164.0,10000.0,10000.0,786432.0,10000000.0,999862.0,9000138.0,10000000.0,1.0,237.7503165,16.82437297617646
fanout-10,0,baseline,10,636.342389,633.371737,642.182715,1.0,120,2499084.0,3560052,2499352.0,3560320,,,2499084.0,2499084,,,,,,,,,,,,,,,636.5904425,1.5708686986767006
