case,repetition,reference_ms,historical_reference_ms,limit_reference_ms,candidate_ms,ratio,speedup,passed
compressed-groups,0,140.6575875,134.6623385,134.6623385,150.4510645,1.1172467831456825,4.510852945809499,False
compressed-groups,1,143.443004,129.4597615,129.4597615,119.8282675,0.9256024119896126,5.645142607940985,True
concurrent-2,0,64.4331815,58.486459,58.486459,60.519488,1.034760678535864,3.9747108319885323,True
concurrent-2,1,62.446859,59.2953155,59.2953155,58.850216,0.9924935132523244,4.062122490765369,True
concurrent-4,0,92.4840745,90.2062085,90.2062085,103.1886545,1.143919650497227,2.327219897997604,False
concurrent-4,1,90.5376775,97.5939385,90.5376775,94.9620985,1.0488682846983788,2.5353704720415378,True
concurrent-scalar-left,0,212.276191,208.252867,208.252867,181.583305,0.871936639412508,1.8734653001276742,True
concurrent-scalar-left,1,210.252335,207.4662775,207.4662775,176.125549,0.8489357939147485,1.93153973078602,True
fanout-10,0,109.8944615,108.944179,108.944179,112.5925825,1.0334887419730796,5.651725672070804,True
fanout-10,1,108.9435355,109.961606,108.9435355,109.3806295,1.0040121150648724,5.803580185100325,True
high-cardinality,0,239.094879,234.2234585,234.2234585,237.8221595,1.015364391863422,1.8978703307081861,True
high-cardinality,1,212.275775,221.314536,212.275775,234.937749,1.1067572312478897,1.8157300021632539,False
hot-chain,0,721.6826865,636.0957235,636.0957235,638.0392405,1.0030553844778365,5.716008346354992,True
hot-chain,1,732.1865275,640.352122,640.352122,641.3961445,1.0016303881319846,5.682792319154641,True
inner,0,34.7730075,37.803323,34.7730075,36.4397365,1.047931689543966,6.510315998031435,True
inner,1,34.214244,35.9585605,34.214244,35.762214,1.0452434372070298,6.574503916340302,True
inner-swapped,0,34.191093,38.5167315,34.191093,21.9999815,0.643441889968244,1.8970113452140858,True
inner-swapped,1,33.8846,37.7665545,33.8846,20.961854,0.618624803007856,1.886428652732721,True
left,0,201.7511545,97.275004,97.275004,102.8167925,1.056970324051593,5.87289219316971,True
left,1,200.6773355,96.36837,96.36837,102.580408,1.0644613787698185,5.861738227830016,True
left-swapped,0,42.1510285,33.7304925,33.7304925,21.6353695,0.6414187252083556,1.8217433494722612,True
left-swapped,1,42.1456535,33.308754,33.308754,20.9230765,0.6281554842910065,1.9337747725579457,True
match-100pct,0,112.5372265,116.2684665,112.5372265,122.328548,1.0870051786819181,6.35240573606743,True
match-100pct,1,112.19383,115.837321,112.19383,123.2852705,1.0988596298031719,6.287322977484159,True
match-1pct,0,32.015357,31.9192725,31.9192725,33.9005345,1.0620710262115152,4.795603429202569,True
match-1pct,1,30.895495,31.6867485,30.895495,33.60407,1.0876689303731821,4.883316574450654,True
mixed,0,38.9564245,39.787721,38.9564245,40.8979,1.0498371070989845,7.784909530807205,True
mixed,1,38.2151095,38.524656,38.2151095,38.105033,0.9971195555517118,8.272230022737416,True
parquet,0,43.2954935,43.1666905,43.1666905,43.370432,1.0047198777029247,7.589596144672942,True
parquet,1,42.085729,42.1675535,42.085729,42.2111795,1.002980832291155,7.6534099929616985,True
parquet-scalar-right,0,9.144465,9.6203095,9.144465,8.6600665,0.9470282296449272,28.44809690549143,True
parquet-scalar-right,1,8.4589535,7.92469,7.92469,7.3878275,0.9322544478080531,33.6498785333036,True
post-null-accepting,0,92.1324375,93.484835,92.1324375,93.7276565,1.0173144122014572,6.882302402386429,True
post-null-accepting,1,91.456154,93.7593685,91.456154,93.026849,1.0171742953459424,6.93251721876552,True
post-reject-all,0,29.8840855,30.088752,29.8840855,31.6515765,1.0591448916849069,8.025032986903511,True
post-reject-all,1,29.193621,29.8119445,29.193621,30.9732925,1.060960971576633,8.144271923948672,True
primary-w1,0,754.9294655,732.0219335,732.0219335,787.2498655,1.0754457338948027,2.8886969000060123,True
primary-w1,1,749.54105,732.8175835,732.8175835,785.695391,1.072156848703672,2.890669023283096,True
primary-w2,0,501.0955875,496.497573,496.497573,517.2915985,1.0418814242622692,4.442553698269662,True
primary-w2,1,499.860058,495.844557,495.844557,520.962133,1.0506561494835567,4.403050777013,True
primary-w4,0,313.995459,319.807557,313.995459,327.0876145,1.041695365728203,7.080076485133924,True
primary-w4,1,312.122682,321.5269595,312.122682,325.9625865,1.04434123278487,7.107589020803159,True
right,0,111.511536,111.938636,111.511536,117.180442,1.0508369465917857,29.703315566944184,True
right,1,110.897936,118.359941,110.897936,115.32316,1.0399035740394664,29.87266666123266,True
right-swapped,0,45.5400865,44.324084,44.324084,22.1008945,0.49862044526402394,1.0870420425743401,True
right-swapped,1,42.2774745,44.2226485,42.2774745,21.4420275,0.5071738024465013,1.0586598678693049,True
scalar-inner,0,29.019392,29.808173,29.019392,30.5126405,1.051456918876867,6.9038862107001195,True
scalar-inner,1,28.289087,29.7513815,28.289087,29.5761685,1.0454974563159285,7.1170549525372095,True
scalar-left,0,63.493116,75.9939805,63.493116,54.5901445,0.8597805232932654,6.772973892750916,True
scalar-left,1,60.3833645,72.361848,60.3833645,53.9677345,0.8937516971251246,6.8517310838756815,True
scalar-right,0,60.294065,60.8018315,60.294065,50.881386,0.84388713880877,56.04794810424386,True
scalar-right,1,55.6848835,59.3733815,55.6848835,49.8134785,0.8945601637112163,57.139131941970284,True
zero-matches,0,7.595439,7.6482075,7.595439,7.812384,1.0285625360166806,7.2612908556466245,True
zero-matches,1,8.6768295,7.360444,7.360444,7.6967735,1.0456941863833213,7.34324350326796,True
