suite,tests,failures,errors,skipped,seconds
io.questdb.test.QueryAssertionCircuitBreakerTest,5,0,0,0,0.092
io.questdb.test.cairo.FullBwdPartitionFrameCursorTest,1,0,0,0,0.051
io.questdb.test.cairo.FullFwdPartitionFrameCursorTest,165,0,0,0,36.362
io.questdb.test.cairo.IntervalBwdPartitionFrameCursorTest,56,0,0,9,4.628
io.questdb.test.cairo.IntervalFwdPartitionFrameCursorTest,68,0,0,15,3.353
io.questdb.test.cairo.PageFrameAddressCacheTest,3,0,0,0,0.403
io.questdb.test.cairo.SymbolMapTest,31,0,0,0,37.568
io.questdb.test.cairo.covering.CoveringIndexParallelDecodeTest,30,0,0,0,5.839
io.questdb.test.cairo.lv.LiveViewPageFrameCursorTest,22,0,0,0,0.027
io.questdb.test.cairo.lv.LiveViewSymbolCacheConcurrencyTest,12,0,0,0,1.663
io.questdb.test.cairo.lv.LiveViewSymbolTableSourceTest,7,0,0,0,0.012
io.questdb.test.cairo.map.MapCursorCancellationTest,1,0,0,0,0.021
io.questdb.test.cairo.map.OrderedMapTest,53,0,0,0,2.8
io.questdb.test.cairo.map.ShardedMapCursorTest,3,0,0,0,0.01
io.questdb.test.cairo.map.Unordered4MapTest,20,0,0,0,0.044
io.questdb.test.cairo.map.Unordered8MapTest,17,0,0,0,0.046
io.questdb.test.cairo.parquet.ParquetColumnTypeConversionTest,105,0,0,0,166.86
io.questdb.test.cairo.sql.NetworkSqlExecutionCircuitBreakerTest,13,0,0,0,0.018
io.questdb.test.cairo.sql.PageFrameMemoryRecordTest,1,0,0,0,0.001
io.questdb.test.cairo.sql.SqlExecutionCircuitBreakerWrapperTest,2,0,0,0,0.009
io.questdb.test.cairo.sql.async.PageFrameReduceDispatcherTest,53,0,0,0,0.694
io.questdb.test.cairo.sql.async.PageFrameReduceTaskTest,18,0,0,0,0.004
io.questdb.test.cairo.sql.async.QueryParallelFiberDispatcherTest,40,0,0,0,1.93
io.questdb.test.griffin.AsyncHashJoinGroupByTest,45,0,0,0,46.741
io.questdb.test.griffin.GroupByRewriteTest,33,0,0,0,1.3
io.questdb.test.griffin.GroupByTest,119,0,0,0,6.514
io.questdb.test.griffin.HashJoinGroupByCandidateTest,12,0,0,0,1.018
io.questdb.test.griffin.HashJoinGroupByConcurrentTest,3,0,0,0,1.153
io.questdb.test.griffin.HashJoinGroupByFunctionsTest,14,0,0,0,1.22
io.questdb.test.griffin.HashJoinGroupByPlannerTest,12,0,0,0,1.846
io.questdb.test.griffin.HashJoinGroupByQualificationTest,10,0,0,0,5.156
io.questdb.test.griffin.HashJoinGroupBySemanticTest,8,0,0,0,7.171
io.questdb.test.griffin.HorizonJoinTest,172,0,0,0,23.868
io.questdb.test.griffin.IntervalFilterTest,28,0,0,0,1.027
io.questdb.test.griffin.IntervalSearchOpenPartitionTrackingTest,8,0,0,0,0.305
io.questdb.test.griffin.PageFrameCursorTest,6,0,0,0,0.264
io.questdb.test.griffin.ParallelFilterTest,49,0,0,1,11.061
io.questdb.test.griffin.ParallelGroupByMemoryTrackerTest,9,0,0,0,2.273
io.questdb.test.griffin.ParallelHorizonJoinMemoryTrackerTest,14,0,0,0,4.991
io.questdb.test.griffin.ParallelParquetMemoryTrackerTest,5,0,0,0,1.812
io.questdb.test.griffin.ParquetMemoryTrackerTest,6,0,0,0,0.66
io.questdb.test.griffin.ParquetRowGroupPruningTest,186,0,0,0,11.339
io.questdb.test.griffin.QueryRegistryMemoryTrackerTest,9,0,0,0,0.157
io.questdb.test.griffin.SqlCodeGeneratorWorkerFunctionExtractionTest,11,0,0,0,0.201
io.questdb.test.griffin.SqlOptimiserTest,175,0,0,0,9.363
io.questdb.test.griffin.SymbolPatternIndexTest,117,0,0,0,8.894
io.questdb.test.griffin.TimeFrameCursorTest,42,0,0,0,3.46
io.questdb.test.griffin.engine.QueryProgressValidationTest,4,0,0,0,0.055
io.questdb.test.griffin.engine.SqlCodeGeneratorTest,332,0,0,1,23.872
io.questdb.test.griffin.engine.functions.groupby.AvgDoubleGroupByFunctionFactoryTest,9,0,0,0,0.183
io.questdb.test.griffin.engine.functions.groupby.CountSymbolGroupByFunctionFactoryTest,9,0,0,0,0.391
io.questdb.test.griffin.engine.groupby.CountColumnTest,14,0,0,0,2.556
io.questdb.test.griffin.engine.groupby.CountTest,11,0,0,0,0.572
io.questdb.test.griffin.engine.groupby.GroupByFunctionsUpdaterFactoryTest,2,0,0,0,0.001
io.questdb.test.griffin.engine.groupby.GroupByUtilsTest,17,0,0,0,0.003
