case,repetition,arm,samples,median_ms,min_ms,max_ms,speedup,groups,sampled_query_peak_bytes_median,sampled_query_peak_bytes_max,sampled_batch_native_peak_delta_bytes_median,sampled_batch_native_peak_delta_bytes_max,sampled_native_peak_delta_bytes_median,sampled_native_peak_delta_bytes_max,retained_query_bytes_median,retained_query_bytes_max,retained_native_delta_bytes_median,retained_native_delta_bytes_max,build_ns_median,init_ns_median,probe_ns_median,merge_ns_median,build_rows_median,build_keys_median,build_bytes_median,scanned_rows_median,matched_pairs_median,null_extended_rows_median,surviving_rows_median,merge_cardinality_median,batch_median_ms,queries_per_second
build-beyond-cache,0,baseline,10,3733.920074,3565.755841,3760.513912,1.0,120,110622876.0,111382248,110623140.0,111382512,,,84091404.0,84091404,,,,,,,,,,,,,,,3738.32433,0.2674995296622645
build-beyond-cache,0,candidate,10,768.92139,740.258919,784.533665,4.856049165181892,120,169476104.0,169714544,169476104.0,169714544,,,134410416.0,134410416,,,273211339.0,114999.5,497996438.0,231121.5,2000000.0,2000000.0,134217856.0,10000000.0,10000000.0,0.0,10000000.0,120.0,774.7385855,1.290757964965203
build-beyond-cache,1,baseline,10,3729.825189,3467.584054,3790.454826,1.0,120,110686628.0,111184440,110686892.0,111184704,,,84091404.0,84091404,,,,,,,,,,,,,,,3733.8518505,0.2678199457394353
build-beyond-cache,1,candidate,10,765.3663975,749.493162,775.660806,4.87325443236486,120,169476104.0,169969536,169476104.0,169969536,,,134410416.0,134410416,,,267585360.5,110100.5,493374312.5,192539.5,2000000.0,2000000.0,134217856.0,10000000.0,10000000.0,0.0,10000000.0,120.0,770.893977,1.2971952432312233
build-heavy,0,baseline,10,7.4844725,6.687434,10.840122,1.0,120,7349544.0,7349544,7349812.0,7349812,,,5448204.0,5448204,,,,,,,,,,,,,,,7.6139145,131.33848561078537
build-heavy,0,candidate,10,7.2846445,6.705137,12.659581,1.0274314003929772,120,9016744.0,9317912,9016744.0,9285320,,,8542896.0,8542896,,,5317624.5,68768.5,1515632.0,73121.5,100000.0,100000.0,8388736.0,100000.0,10166.0,0.0,10166.0,120.0,7.4637935,133.98012686176273
build-heavy,1,baseline,10,6.7034885,6.099294,9.251924,1.0,120,7349544.0,7448832,7349812.0,7449100,,,5448204.0,5448204,,,,,,,,,,,,,,,6.806496,146.91847317621284
build-heavy,1,candidate,10,7.5561015,6.662587,8.773761,0.8871623151171275,120,9016744.0,10910936,9016744.0,10910936,,,8542896.0,8542896,,,5472789.0,56130.0,1574711.5,70091.5,100000.0,100000.0,8388736.0,100000.0,10166.0,0.0,10166.0,120.0,7.6866105,130.0963539130804
build-source-10m,0,baseline,10,234.4020515,232.051501,237.6502,1.0,120,3540044.0,11214116,3370760.0,11214384,,,533004.0,533004,,,,,,,,,,,,,,,234.6429375,4.261794583099268
build-source-10m,0,candidate,10,77.1724345,75.902623,79.186596,3.0373805493981143,120,11269016.0,11793304,11269016.0,11793304,,,979120.0,979120,,,1948289.5,105357.0,74620878.0,207853.5,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,77.410168,12.918199583289885
build-source-10m,1,baseline,10,234.6035995,232.867366,236.208156,1.0,120,3320968.0,7566492,3321236.0,7567016,,,533004.0,533004,,,,,,,,,,,,,,,234.8290205,4.258417455690916
build-source-10m,1,candidate,10,76.2609425,75.196554,78.887488,3.0763270398867677,120,3177740.0,11531160,3177740.0,11531160,,,979120.0,979120,,,1628036.0,98018.0,74012998.0,167298.0,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,76.487335,13.074059908088051
cold-native,0,baseline,10,322.386361,319.069921,393.123201,1.0,120,729534.0,877412,738010.0,885888,,,494604.0,494604,,,,,,,,,,,,,,,322.6548025,3.099287511767317
cold-native,0,candidate,10,140.7751365,138.993438,162.402933,2.2900802585973694,120,1153620.0,1456600,1157724.0,1460704,,,979120.0,979120,,,4290937.0,390830.0,135337853.0,217592.0,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,141.0405125,7.090161417273636
cold-native,1,baseline,10,320.4151155,317.593114,323.135538,1.0,120,612884.0,755564,621360.0,764040,,,494604.0,494604,,,,,,,,,,,,,,,320.6972425,3.118205794987464
cold-native,1,candidate,10,139.8885615,136.905517,142.215639,2.2905026119665974,120,1160536.0,1456600,1164640.0,1460704,,,979120.0,979120,,,3846787.0,377946.0,134962744.0,180236.5,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,140.142321,7.13560324150761
cold-parquet,0,baseline,10,395.6417275,392.309889,449.384449,1.0,120,12338388.0,12338388,12347024.0,12347024,,,12338388.0,12338388,,,,,,,,,,,,,,,395.9361425,2.5256598038407168
cold-parquet,0,candidate,10,118.0612225,113.346975,149.132592,3.351157298917517,120,17488604.0,17888124,17496820.0,17896340,,,4425240.0,4425240,,,6977356.0,408012.0,110101791.5,131215.0,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,118.355948,8.449089521043758
cold-parquet,1,baseline,10,395.0309745,390.778859,400.275622,1.0,120,12338388.0,12338388,12347024.0,12347024,,,12338388.0,12338388,,,,,,,,,,,,,,,395.301395,2.5297153327779176
cold-parquet,1,candidate,10,115.496126,109.063874,124.351164,3.420296317990787,120,16996016.0,17888124,17004232.0,17896340,,,4425240.0,4425240,,,6171630.0,374995.0,108510499.5,128585.5,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,115.7497895,8.639324566547051
compressed-groups,0,baseline,10,658.5260915,656.733795,662.563838,1.0,6000,1077260.0,1077260,1077516.0,1077516,,,1077260.0,1077260,,,,,,,,,,,,,,,658.7823505,1.5179520204829775
compressed-groups,0,candidate,10,193.003843,190.627899,196.242859,3.41198434841528,6000,6742016.0,6762496,6742016.0,6762496,,,1630208.0,1630208,,,425505.0,68929.0,190381719.5,498771.5,100.0,100.0,6144.0,10000000.0,10000000.0,0.0,10000000.0,6000.0,193.2974065,5.17337515338055
compressed-groups,1,baseline,10,657.0260915,654.20159,662.250034,1.0,6000,1077260.0,1077260,1077516.0,1077516,,,1077260.0,1077260,,,,,,,,,,,,,,,657.241203,1.5215114259962184
compressed-groups,1,candidate,10,191.9751325,190.551849,193.861592,3.4224541634318184,6000,6742016.0,6758400,6742016.0,6758400,,,1630208.0,1630208,,,289300.5,53760.5,189526658.5,469262.0,100.0,100.0,6144.0,10000000.0,10000000.0,0.0,10000000.0,6000.0,192.2549805,5.201425718071319
concurrent-2,0,baseline,20,237.011678,234.039185,238.859971,1.0,120,494604.0,975728,989744.0,1840284,,,494604.0,494604,,,,,,,,,,,,,,,237.2833805,8.428740334808236
concurrent-2,0,candidate,20,129.2927515,77.092545,153.287443,1.833139717813183,120,1020272.0,1470432,2088304.0,2886416,,,979120.0,979120,,,1150609.5,60593.5,127730993.5,198626.5,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,150.0303835,13.330633124723033
concurrent-2,1,baseline,20,235.593009,234.815476,244.61301,1.0,120,494604.0,494604,989744.0,989744,,,494604.0,494604,,,,,,,,,,,,,,,235.874595,8.479081861274633
concurrent-2,1,candidate,20,128.4412505,78.040056,151.64131,1.8342472381954893,120,1020272.0,1020272,2040544.0,2130464,,,979120.0,979120,,,788167.5,49733.0,127452508.5,69945.5,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,131.9603805,15.156064209742105
concurrent-4,0,baseline,40,238.806068,235.975144,249.811533,1.0,120,494604.0,850188,1979488.0,2491824,,,494604.0,494604,,,,,,,,,,,,,,,241.260393,16.579596635242154
concurrent-4,0,candidate,40,215.1828345,78.830783,302.244289,1.1097821466795486,120,1020272.0,1443208,3993640.0,4627928,,,979120.0,979120,,,1145365.0,46346.5,213787613.5,80586.0,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,267.4830775,14.954217056965033
concurrent-4,1,baseline,40,238.142123,236.481261,243.222585,1.0,120,494604.0,495628,1979488.0,1981536,,,494604.0,494604,,,,,,,,,,,,,,,239.293925,16.715844332445965
concurrent-4,1,candidate,40,199.5009525,77.322255,308.491592,1.1936891529377536,120,1020272.0,1443208,4003928.0,4324288,,,979120.0,979120,,,980271.0,40075.0,198357161.0,58804.5,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,289.275502,13.827648633723571
concurrent-scalar-left,0,baseline,40,342.2987185,337.932847,353.509459,1.0,1,287752.0,648456,1152032.0,2297784,,,287752.0,287752,,,,,,,,,,,,,,,346.0943995,11.557540387185606
concurrent-scalar-left,0,candidate,40,336.9131175,105.743213,669.12945,1.0159851330217204,1,838592.0,1166080,3354368.0,3979120,,,838592.0,838592,,,910876.5,52237.5,335906222.0,14608.0,10000.0,10000.0,786432.0,10000000.0,999862.0,9000138.0,10000000.0,1.0,444.0259295,9.008482915635673
concurrent-scalar-left,1,baseline,40,340.1108435,337.37613,345.724265,1.0,1,287752.0,287752,1152032.0,1152032,,,287752.0,287752,,,,,,,,,,,,,,,342.6995455,11.672031820654983
concurrent-scalar-left,1,candidate,40,392.926872,102.827035,635.079962,0.8655830581625377,1,838592.0,838592,3354368.0,3354368,,,838592.0,838592,,,750687.5,33352.5,392094206.5,9247.5,10000.0,10000.0,786432.0,10000000.0,999862.0,9000138.0,10000000.0,1.0,540.9994115,7.393723384854366
empty-build-left,0,baseline,10,454.8941155,452.774385,459.381536,1.0,60,293896.0,293896,294156.0,294156,,,293896.0,293896,,,,,,,,,,,,,,,455.1314795,2.1971672913035674
