case,repetition,arm,samples,median_ms,min_ms,max_ms,speedup,groups,sampled_query_peak_bytes_median,sampled_query_peak_bytes_max,sampled_batch_native_peak_delta_bytes_median,sampled_batch_native_peak_delta_bytes_max,sampled_native_peak_delta_bytes_median,sampled_native_peak_delta_bytes_max,retained_query_bytes_median,retained_query_bytes_max,retained_native_delta_bytes_median,retained_native_delta_bytes_max,build_ns_median,init_ns_median,probe_ns_median,merge_ns_median,build_rows_median,build_keys_median,build_bytes_median,scanned_rows_median,matched_pairs_median,null_extended_rows_median,surviving_rows_median,merge_cardinality_median,batch_median_ms,queries_per_second
build-beyond-cache,0,baseline,10,3705.7627965,3370.134226,3795.444306,1.0,120,109188120.0,109188120,111386904.0,111386904,,,84027404.0,84027404,,,,,,,,,,,,,,,3709.7980875,0.269556449276702
build-beyond-cache,0,candidate,10,693.0581965,665.507146,703.504112,5.346972036712649,120,167773312.0,167773312,169969784.0,169969784,,,134359216.0,134359216,,,270589076.5,119899.0,422250817.5,230251.0,2000000.0,2000000.0,134217856.0,10000000.0,10000000.0,0.0,10000000.0,120.0,700.6453145,1.4272556731698518
build-beyond-cache,1,baseline,10,3633.3860275,3576.824467,3773.802852,1.0,120,109188120.0,109188120,111386904.0,111386904,,,84027404.0,84027404,,,,,,,,,,,,,,,3637.3441795,0.27492586641538636
build-beyond-cache,1,candidate,10,688.4793395,661.599715,699.333988,5.277407496554223,120,167773312.0,167773312,169969784.0,169969784,,,134359216.0,134359216,,,265699699.0,112280.0,417914284.0,177146.0,2000000.0,2000000.0,134217856.0,10000000.0,10000000.0,0.0,10000000.0,120.0,695.9062375,1.4369751930841115
build-heavy,0,baseline,10,7.8845435,6.776512,9.212616,1.0,120,6951960.0,6951960,8047276.0,8047276,,,5384204.0,5384204,,,,,,,,,,,,,,,7.9973045,125.0421313831429
build-heavy,0,candidate,10,6.233228,5.883144,8.783874,1.264921401880374,120,8545600.0,10486912,9482760.0,11579912,,,8530096.0,8530096,,,5001426.0,60553.0,799890.0,59431.5,100000.0,100000.0,8388736.0,100000.0,10166.0,0.0,10166.0,120.0,6.365711,157.0916430230653
build-heavy,1,baseline,10,6.3303295,6.096052,7.761975,1.0,120,6168082.0,6951960,7260838.0,8047276,,,5384204.0,5384204,,,,,,,,,,,,,,,6.4280475,155.56823436665644
build-heavy,1,candidate,10,6.0186215,5.354156,6.506028,1.0517905968999712,120,8535264.0,8550768,9482760.0,9500288,,,8530096.0,8530096,,,4774061.0,54346.5,761168.0,58149.0,100000.0,100000.0,8388736.0,100000.0,10166.0,0.0,10166.0,120.0,6.1484345,162.643027261655
build-source-10m,0,baseline,10,238.3760495,237.118865,241.649521,1.0,120,469004.0,469004,11306328.0,11350120,,,469004.0,469004,,,,,,,,,,,,,,,238.677347,4.189756642468462
build-source-10m,0,candidate,10,36.9107245,36.206279,39.341709,6.458178557291662,120,969072.0,1049728,11649608.0,11758488,,,927920.0,927920,,,2164645.0,107787.0,34106270.0,197809.0,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,37.1543305,26.91476300454398
build-source-10m,1,baseline,10,235.857468,230.787574,237.230253,1.0,120,469004.0,469004,11350120.0,11350120,,,469004.0,469004,,,,,,,,,,,,,,,236.0326,4.236702896125366
build-source-10m,1,candidate,10,35.258277,34.822754,37.188184,6.689421266955274,120,969072.0,969072,11649616.0,11671504,,,927920.0,927920,,,1641913.0,90258.5,32945150.5,155596.0,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,35.4549805,28.204782117987627
cold-native,0,baseline,10,324.690639,318.622612,396.092303,1.0,120,469004.0,469004,864456.0,900904,,,469004.0,469004,,,,,,,,,,,,,,,324.9704065,3.077203277585216
cold-native,0,candidate,10,102.273428,100.487739,116.983337,3.1747311628197306,120,969072.0,1049728,1218620.0,1480328,,,927920.0,927920,,,4057692.0,379164.0,96804837.0,248434.5,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,102.582416,9.748259389796395
cold-native,1,baseline,10,320.440736,314.359072,325.966591,1.0,120,469004.0,469004,849164.0,900904,,,469004.0,469004,,,,,,,,,,,,,,,320.6998205,3.1181807287603394
cold-native,1,candidate,10,100.4053675,99.250963,103.412125,3.1914701771297236,120,969072.0,969072,1218184.0,1219056,,,927920.0,927920,,,3701677.0,352754.5,95964378.5,172878.5,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,100.662869,9.934149601875543
cold-parquet,0,baseline,10,397.791052,389.314687,447.95927,1.0,120,11504212.0,11504212,11533192.0,11533192,,,11504212.0,11504212,,,,,,,,,,,,,,,398.069207,2.5121259881827536
cold-parquet,0,candidate,10,74.928615,71.422674,89.441028,5.3089337364636995,120,13177868.0,13550304,13203988.0,13576904,,,927920.0,927920,,,6735008.5,400268.5,67083751.0,118622.0,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,75.2151865,13.29518740208136
cold-parquet,1,baseline,10,392.231074,387.585938,403.236184,1.0,120,11504212.0,11505236,11533192.0,11534216,,,11504212.0,11504212,,,,,,,,,,,,,,,392.4929385,2.5478165386152547
cold-parquet,1,candidate,10,73.5336805,71.241214,75.830004,5.334032940184464,120,13101260.0,13254504,13127380.0,13280624,,,927920.0,927920,,,6038146.0,416173.5,66520437.0,114809.5,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,73.77911,13.553972120292586
compressed-groups,0,baseline,10,652.1849385,650.352284,656.429961,1.0,6000,1051660.0,1051660,1068300.0,1068300,,,1051660.0,1051660,,,,,,,,,,,,,,,652.4468735,1.5326918414607131
compressed-groups,0,candidate,10,134.6623385,129.076065,155.993626,4.843113121045347,6000,6690816.0,6690816,6723584.0,6723584,,,1579008.0,1579008,,,382385.0,61885.5,132152584.0,452214.5,100.0,100.0,6144.0,10000000.0,10000000.0,0.0,10000000.0,6000.0,134.9876715,7.408083930094312
compressed-groups,1,baseline,10,651.081957,650.670759,654.855319,1.0,6000,1051660.0,1051660,1068300.0,1068300,,,1051660.0,1051660,,,,,,,,,,,,,,,651.3416675,1.5352925352345894
compressed-groups,1,candidate,10,129.4597615,124.705899,143.780813,5.029222589754269,6000,6690816.0,6711296,6723584.0,6744064,,,1579008.0,1579008,,,271402.0,54141.0,127026174.0,432548.0,100.0,100.0,6144.0,10000000.0,10000000.0,0.0,10000000.0,6000.0,129.7470135,7.707306496114456
concurrent-2,0,baseline,20,236.714433,234.877486,241.15118,1.0,120,469004.0,469004,971312.0,1637936,,,469004.0,469004,,,,,,,,,,,,,,,237.1148215,8.434732115638752
concurrent-2,0,candidate,20,58.486459,36.200809,78.339974,4.047337401636847,120,969072.0,1049728,2003680.0,2428160,,,927920.0,927920,,,969517.0,64320.5,56990789.0,198546.5,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,71.3733355,28.021669240888986
concurrent-2,1,baseline,20,235.767034,234.65518,239.542473,1.0,120,469004.0,470028,971312.0,973360,,,469004.0,469004,,,,,,,,,,,,,,,236.088298,8.471406744607053
concurrent-2,1,candidate,20,59.2953155,34.732624,74.113987,3.9761494143664686,120,969072.0,969072,2003680.0,2011176,,,927920.0,927920,,,836087.0,53971.0,58089277.0,61625.5,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,68.3019505,29.281740643702406
concurrent-4,0,baseline,40,237.109772,233.914887,247.216374,1.0,120,469004.0,469004,2098804.0,2291828,,,469004.0,469004,,,,,,,,,,,,,,,239.877485,16.675178998145658
concurrent-4,0,candidate,40,90.2062085,39.097361,152.567643,2.6285305184952983,120,969072.0,1049728,4008716.0,4702000,,,927920.0,927920,,,1050398.0,52904.0,88695766.5,61915.5,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,143.114338,27.94968034579456
concurrent-4,1,baseline,40,236.160067,232.7126,240.126886,1.0,120,469004.0,469004,2034764.0,2350264,,,469004.0,469004,,,,,,,,,,,,,,,237.616208,16.83386850445825
concurrent-4,1,candidate,40,97.5939385,40.259433,146.887458,2.419823102025952,120,969072.0,1049728,3929688.0,4534792,,,927920.0,927920,,,927813.5,39458.5,96467879.5,40856.5,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,119.0382515,33.602644104697724
concurrent-scalar-left,0,baseline,40,337.6563235,333.225479,353.858305,1.0,1,262152.0,327696,1260140.0,1853544,,,262152.0,262152,,,,,,,,,,,,,,,344.116366,11.623974896910308
concurrent-scalar-left,0,candidate,40,208.252867,76.773637,286.270774,1.6213765907001896,1,787392.0,917504,3359796.0,4213128,,,787392.0,787392,,,1005860.0,66719.5,207072856.0,13595.0,10000.0,10000.0,786432.0,10000000.0,999862.0,9000138.0,10000000.0,1.0,269.2813605,14.854351569573268
concurrent-scalar-left,1,baseline,40,339.0419025,334.674205,344.188987,1.0,1,262152.0,262152,1146272.0,1526288,,,262152.0,262152,,,,,,,,,,,,,,,340.6719185,11.741501963567332
concurrent-scalar-left,1,candidate,40,207.4662775,70.811986,314.153859,1.6342024669527315,1,787392.0,787392,3280640.0,3280640,,,787392.0,787392,,,702848.0,38792.5,206706803.5,8791.5,10000.0,10000.0,786432.0,10000000.0,999862.0,9000138.0,10000000.0,1.0,254.833828,15.696503213066359
empty-build-left,0,baseline,10,443.011905,441.694988,449.289581,1.0,60,268296.0,268296,284940.0,284940,,,268296.0,268296,,,,,,,,,,,,,,,443.258385,2.256020492426782
empty-build-left,0,candidate,10,81.958591,80.668275,84.762156,5.405313824880176,60,157936.0,157936,190704.0,190704,,,137264.0,137264,,,433440.0,84357.5,81078742.5,137251.5,0.0,0.0,1024.0,10000000.0,0.0,10000000.0,10000000.0,60.0,82.2005845,12.165363617335348
empty-build-left,1,baseline,10,441.775268,441.244617,442.615348,1.0,60,268296.0,268296,284940.0,284940,,,268296.0,268296,,,,,,,,,,,,,,,441.9955645,2.2624661429153323
empty-build-left,1,candidate,10,81.51379,80.116254,82.471515,5.4196384194625224,60,157936.0,157936,190704.0,190704,,,137264.0,137264,,,323199.0,71103.0,80823686.0,116132.0,0.0,0.0,1024.0,10000000.0,0.0,10000000.0,10000000.0,60.0,81.7691325,12.22955373777507
empty-build,0,baseline,10,53.0599135,51.889105,54.591005,1.0,0,268812.0,268812,285456.0,285456,,,268812.0,268812,,,,,,,,,,,,,,,53.208882,18.793854755301943
empty-build,0,candidate,10,0.467819,0.311843,0.815885,113.41974887723671,0,137264.0,137264,139312.0,139312,,,137264.0,137264,,,336489.0,56240.0,421.0,21785.5,0.0,0.0,1024.0,0.0,0.0,0.0,0.0,0.0,0.624848,1600.3892146570047
empty-build,1,baseline,10,51.1951135,50.929202,52.834002,1.0,0,268812.0,268812,285456.0,285456,,,268812.0,268812,,,,,,,,,,,,,,,51.37508,19.46468988466782
empty-build,1,candidate,10,0.3696155,0.247282,0.500796,138.5091087900805,0,137264.0,137264,139312.0,139312,,,137264.0,137264,,,259710.0,52858.5,446.0,20423.0,0.0,0.0,1024.0,0.0,0.0,0.0,0.0,0.0,0.4707495,2124.2720385257976
fanout-10,0,baseline,10,634.6282565,628.975087,646.109126,1.0,120,2435084.0,2436108,2476704.0,3408088,,,2435084.0,2435084,,,,,,,,,,,,,,,634.880273,1.5751001291545879
fanout-10,0,candidate,10,108.944179,108.271317,111.403731,5.825260810859844,120,4901232.0,4901232,5812744.0,5830272,,,4860080.0,4860080,,,3517598.5,81592.5,104802489.5,208775.5,100000.0,10000.0,4718720.0,10000000.0,9998620.0,0.0,9998620.0,120.0,109.1883405,9.15848702728475
fanout-10,1,baseline,10,641.874232,631.832166,650.04441,1.0,120,2435084.0,2435084,2476704.0,2575020,,,2435084.0,2435084,,,,,,,,,,,,,,,642.1264585,1.557325643201167
fanout-10,1,candidate,10,109.961606,108.269012,116.108332,5.837257706112441,120,4901232.0,6816896,5812744.0,7909896,,,4860080.0,4860080,,,3656021.5,86541.5,105420604.5,168555.0,100000.0,10000.0,4718720.0,10000000.0,9998620.0,0.0,9998620.0,120.0,110.2073295,9.0738066563894
high-cardinality,0,baseline,10,432.2685405,413.654166,458.50552,1.0,486759,59047948.0,59047948,59064588.0,59064588,,,59047948.0,59047948,,,,,,,,,,,,,,,434.3706285,2.3021814422703306
high-cardinality,0,candidate,10,234.2234585,210.474263,251.097686,1.8455390560292662,486759,97120256.0,98492416,97153024.0,98525184,,,59506688.0,59506688,,,1139719.5,72380.0,58198385.0,8131891.5,10000.0,10000.0,786432.0,10000000.0,999862.0,0.0,999862.0,486759.0,234.854878,4.25794860432918
high-cardinality,1,baseline,10,426.7729205,407.553034,452.831097,1.0,486759,59047948.0,59047948,59064588.0,59064588,,,59047948.0,59047948,,,,,,,,,,,,,,,428.9104155,2.331489196489331
high-cardinality,1,candidate,10,221.314536,212.983873,234.95973,1.9283546766218735,486759,96473088.0,98287616,96505856.0,98320384,,,59506688.0,59506688,,,772539.0,68929.0,58359417.0,8091836.0,10000.0,10000.0,786432.0,10000000.0,999862.0,0.0,999862.0,486759.0,221.8194245,4.508171465389407
hot-chain,0,baseline,10,3681.774959,3649.544491,3696.92476,1.0,60,268812.0,268812,285460.0,285460,,,268812.0,268812,,,,,,,,,,,,,,,3682.030672,0.2715892639364738
hot-chain,0,candidate,10,636.0957235,633.312643,647.946719,5.788083181477323,60,190832.0,190832,199024.0,199024,,,170160.0,170160,,,559540.5,61189.5,635079559.0,78712.0,1000.0,1.0,33920.0,100000.0,90099000.0,0.0,90099000.0,60.0,636.353545,1.5714534913135434
hot-chain,1,baseline,10,3678.22009,3672.492543,3691.526251,1.0,60,268812.0,268812,285460.0,285460,,,268812.0,268812,,,,,,,,,,,,,,,3678.470873,0.2718520914056997
hot-chain,1,candidate,10,640.352122,629.381246,645.253856,5.744058563453937,60,190832.0,190832,199024.0,309424,,,170160.0,170160,,,422479.5,58740.5,639576256.5,75281.0,1000.0,1.0,33920.0,100000.0,90099000.0,0.0,90099000.0,60.0,640.586585,1.5610692190814455
hot-key-90pct,0,baseline,10,471.560762,470.100548,475.32956,1.0,120,469004.0,470028,485656.0,892696,,,469004.0,469004,,,,,,,,,,,,,,,471.8123925,2.1194865075528937
hot-key-90pct,0,candidate,10,83.203833,82.180231,88.683974,5.66753651841977,120,969072.0,1049728,1001840.0,1476224,,,927920.0,927920,,,878451.5,64826.0,81567259.5,218534.0,10000.0,10000.0,786560.0,10000000.0,9099964.0,0.0,9099964.0,120.0,83.446767,11.983687756291385
